Accuracy, Total Time, L1 Time, L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9793000000000001, 0.59534, 0.10974, 0.02265, 0.05048, 0.14208, 0.17996, 0.09008
0.9791, 0.59488, 0.10974, 0.02231, 0.05049, 0.14202, 0.17991, 0.09005
0.9783, 0.5957, 0.10922, 0.02222, 0.05082, 0.14193, 0.17965, 0.09115
0.9777, 0.59548, 0.10955, 0.02272, 0.05052, 0.14196, 0.17985, 0.09051
0.98, 0.59445, 0.10974, 0.02219, 0.05068, 0.14194, 0.17943, 0.09013
0.9782, 0.59377, 0.10947, 0.02239, 0.05049, 0.14162, 0.17959, 0.08984
0.9795, 0.59655, 0.10978, 0.02256, 0.05118, 0.14218, 0.18015, 0.09034
0.9765, 0.59397, 0.10969, 0.02201, 0.05063, 0.14177, 0.17946, 0.08999
0.9765, 0.59571, 0.10961, 0.0226, 0.05063, 0.14236, 0.17965, 0.09051
0.9765999999999999, 0.59418, 0.10943, 0.0223, 0.05053, 0.14187, 0.1797, 0.08999
0.98, 0.59643, 0.10972, 0.02249, 0.05116, 0.14186, 0.1804, 0.09044
0.9767, 0.59573, 0.11, 0.02246, 0.05067, 0.14211, 0.17991, 0.09023
0.9781, 0.59466, 0.10953, 0.02248, 0.05023, 0.14222, 0.17981, 0.08995
0.9783, 0.59605, 0.10996, 0.02246, 0.05084, 0.14207, 0.17991, 0.09043
0.9773000000000001, 0.59498, 0.1095, 0.02242, 0.05055, 0.14223, 0.17951, 0.09042
0.9764, 0.59488, 0.10973, 0.02231, 0.05048, 0.14187, 0.17963, 0.0905
0.9788, 0.59479, 0.10978, 0.02251, 0.05052, 0.14201, 0.17968, 0.08994
0.9778, 0.59435, 0.10962, 0.02223, 0.05049, 0.14178, 0.17966, 0.09007
0.9786, 0.59544, 0.10971, 0.02271, 0.05072, 0.14212, 0.1797, 0.09012
0.9765999999999999, 0.59454, 0.10957, 0.02213, 0.05061, 0.14214, 0.17951, 0.09024
0.9775, 0.59637, 0.10997, 0.0229, 0.05093, 0.14204, 0.17977, 0.09024
0.9775, 0.59591, 0.10969, 0.02265, 0.05095, 0.14215, 0.17985, 0.09027
0.9795999999999999, 0.59381, 0.10965, 0.02191, 0.0507, 0.1417, 0.1795, 0.08994
0.9778, 0.5943, 0.10949, 0.02243, 0.05054, 0.1417, 0.17987, 0.08991
0.9809, 0.59724, 0.10997, 0.02251, 0.05085, 0.14257, 0.18027, 0.09072
0.9798, 0.59407, 0.10965, 0.02207, 0.05051, 0.14171, 0.17959, 0.09016
0.9776, 0.59457, 0.10952, 0.02253, 0.05058, 0.14187, 0.17968, 0.09001
0.9773000000000001, 0.59578, 0.10969, 0.02287, 0.0507, 0.14205, 0.17969, 0.0904
0.9769, 0.59384, 0.10956, 0.02191, 0.05077, 0.14165, 0.17944, 0.09017
0.9776, 0.59495, 0.10989, 0.02231, 0.05053, 0.14196, 0.17977, 0.09014
0.9788, 0.59584, 0.10956, 0.02287, 0.05088, 0.14179, 0.17984, 0.09016
0.9787, 0.59575, 0.10972, 0.02219, 0.05092, 0.14214, 0.1798, 0.09057
0.9783, 0.59548, 0.10958, 0.02272, 0.05065, 0.14212, 0.17975, 0.09032
0.9792000000000001, 0.59526, 0.10994, 0.02215, 0.05086, 0.14207, 0.17956, 0.09033
0.9787, 0.59607, 0.10969, 0.02301, 0.0506, 0.14218, 0.17974, 0.09039
0.9787, 0.59475, 0.10967, 0.02224, 0.05048, 0.14211, 0.17997, 0.08992
0.9786, 0.59495, 0.10977, 0.0225, 0.05049, 0.14208, 0.17976, 0.09
0.981, 0.59533, 0.10953, 0.02262, 0.05057, 0.14213, 0.17979, 0.09035
0.9778, 0.59467, 0.10964, 0.02234, 0.05064, 0.14189, 0.17963, 0.09019
0.9790000000000001, 0.59686, 0.10982, 0.02289, 0.05085, 0.14234, 0.17997, 0.0905
0.9762000000000001, 0.59466, 0.10946, 0.02247, 0.05041, 0.14199, 0.17979, 0.09019
0.9778, 0.59584, 0.10981, 0.02245, 0.0508, 0.14217, 0.17968, 0.09056
