Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9765999999999999, 0.48273, 0.11048, 0.02225, 0.1223, 0.13998, 0.08742
0.9801000000000001, 0.48412, 0.11067, 0.02268, 0.1229, 0.14002, 0.08757
0.9764, 0.48359, 0.11037, 0.02255, 0.12264, 0.13997, 0.0877
0.9802, 0.48409, 0.11105, 0.02229, 0.12291, 0.13979, 0.08748
0.9788, 0.4827, 0.11028, 0.02225, 0.12236, 0.13998, 0.08753
0.9793000000000001, 0.48351, 0.11053, 0.02264, 0.12244, 0.13984, 0.08777
0.9781, 0.48238, 0.11036, 0.02181, 0.12239, 0.1399, 0.08752
0.9781, 0.48422, 0.11051, 0.02284, 0.12246, 0.14011, 0.08779
0.978, 0.48293, 0.11039, 0.02234, 0.12256, 0.1399, 0.08744
0.9778, 0.48285, 0.11024, 0.02254, 0.1223, 0.14011, 0.08733
0.9814, 0.48274, 0.1101, 0.02227, 0.12254, 0.13992, 0.08748
0.9758, 0.48336, 0.11044, 0.02253, 0.12237, 0.14017, 0.08756
0.9789, 0.48277, 0.11001, 0.02202, 0.12268, 0.13978, 0.08792
0.9802, 0.48425, 0.11068, 0.0229, 0.12259, 0.13983, 0.08795
0.9788, 0.48398, 0.11065, 0.02256, 0.12262, 0.14008, 0.08775
0.977, 0.48404, 0.1102, 0.02269, 0.12272, 0.14021, 0.0876
0.9809, 0.48251, 0.11017, 0.022, 0.12267, 0.14006, 0.08732
0.9786, 0.48383, 0.11017, 0.02309, 0.12216, 0.14018, 0.08792
0.9784999999999999, 0.48343, 0.11074, 0.02233, 0.12251, 0.14014, 0.08742
0.9799, 0.48256, 0.11026, 0.02184, 0.12263, 0.13976, 0.08773
0.9776, 0.48347, 0.11032, 0.02249, 0.12243, 0.14008, 0.08782
0.9773000000000001, 0.4826, 0.11049, 0.02211, 0.12228, 0.14006, 0.08737
0.9791, 0.48281, 0.1103, 0.02199, 0.12267, 0.14007, 0.08748
0.9775, 0.4827, 0.10993, 0.02253, 0.1223, 0.13994, 0.08772
0.9797, 0.48218, 0.11035, 0.02177, 0.12242, 0.13979, 0.08738
0.9788, 0.48239, 0.11027, 0.02211, 0.12227, 0.13988, 0.08749
