Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.64273, 0.15919, 0.18567, 0.1312, 0.15421, 0.01204
0.9749, 0.6427, 0.15912, 0.18563, 0.13129, 0.15418, 0.01208
0.9749, 0.64215, 0.15917, 0.18553, 0.13107, 0.15396, 0.01202
0.9749, 0.6422, 0.15901, 0.18557, 0.13123, 0.15396, 0.01202
0.9749, 0.64266, 0.15913, 0.18574, 0.13127, 0.15403, 0.01209
0.9749, 0.64234, 0.15898, 0.18559, 0.13125, 0.15407, 0.01204
0.9749, 0.64223, 0.15913, 0.1855, 0.13119, 0.15398, 0.012
0.9749, 0.6414, 0.15886, 0.18521, 0.1313, 0.15378, 0.01183
0.9749, 0.64237, 0.15911, 0.18558, 0.13125, 0.15404, 0.01187
0.9749, 0.64217, 0.15916, 0.18551, 0.1312, 0.15399, 0.0119
0.9749, 0.64233, 0.15898, 0.18563, 0.13115, 0.15405, 0.0121
0.9749, 0.64373, 0.1595, 0.18581, 0.13161, 0.15441, 0.01196
0.9749, 0.64227, 0.1593, 0.18544, 0.13124, 0.15401, 0.01187
0.9749, 0.64333, 0.15931, 0.18576, 0.1316, 0.15416, 0.01192
0.9749, 0.64197, 0.15902, 0.18547, 0.13118, 0.15393, 0.01194
0.9749, 0.64265, 0.15915, 0.18569, 0.13132, 0.15401, 0.01208
0.9749, 0.64333, 0.15929, 0.18576, 0.13147, 0.15433, 0.01194
0.9749, 0.64265, 0.15938, 0.18555, 0.13134, 0.15405, 0.0119
0.9749, 0.64123, 0.15888, 0.18532, 0.13101, 0.15375, 0.01186
0.9749, 0.64317, 0.15922, 0.18568, 0.13167, 0.15418, 0.01191
0.9749, 0.64251, 0.15916, 0.1857, 0.13131, 0.154, 0.01194
0.9749, 0.64207, 0.15901, 0.18546, 0.13121, 0.15395, 0.01187
0.9749, 0.64268, 0.15908, 0.18568, 0.13122, 0.15432, 0.01195
0.9749, 0.64291, 0.15911, 0.18574, 0.13143, 0.15409, 0.01213
0.9749, 0.6426, 0.15913, 0.18564, 0.1313, 0.15408, 0.01201
0.9749, 0.64259, 0.15909, 0.18556, 0.13138, 0.15411, 0.01204
0.9749, 0.64277, 0.15912, 0.18555, 0.13151, 0.15416, 0.01203
0.9749, 0.6434, 0.15929, 0.1857, 0.1315, 0.15441, 0.01208
0.9749, 0.64476, 0.15979, 0.18593, 0.13194, 0.15452, 0.01205
0.9749, 0.64491, 0.15978, 0.18591, 0.13213, 0.15462, 0.01207
0.9749, 0.64486, 0.15952, 0.18621, 0.13186, 0.1548, 0.01206
0.9749, 0.64244, 0.15892, 0.18563, 0.13138, 0.15404, 0.01208
0.9749, 0.64332, 0.15933, 0.18579, 0.13146, 0.15425, 0.01205
0.9749, 0.64271, 0.15904, 0.18572, 0.13136, 0.15411, 0.01207
0.9749, 0.6427, 0.15914, 0.18567, 0.13136, 0.15409, 0.01203
0.9749, 0.64418, 0.15948, 0.18597, 0.13172, 0.15452, 0.01208
0.9749, 0.64278, 0.15948, 0.18567, 0.13128, 0.15402, 0.01192
0.9749, 0.64182, 0.15911, 0.18534, 0.13113, 0.15397, 0.01188
0.9749, 0.64265, 0.15916, 0.18572, 0.1314, 0.154, 0.0119
0.9749, 0.64274, 0.15911, 0.18577, 0.13143, 0.15407, 0.01196
0.9749, 0.64436, 0.1593, 0.18598, 0.1318, 0.15467, 0.0122
0.9749, 0.64186, 0.15912, 0.18543, 0.13111, 0.15388, 0.01188
0.9749, 0.64556, 0.15978, 0.18644, 0.13208, 0.15473, 0.01212
0.9749, 0.64206, 0.15898, 0.18549, 0.13119, 0.15392, 0.01196
0.9749, 0.6427, 0.15923, 0.18556, 0.13129, 0.15414, 0.01208
0.9749, 0.64289, 0.15932, 0.18562, 0.13132, 0.15416, 0.01206
0.9749, 0.64247, 0.15898, 0.18553, 0.13134, 0.15412, 0.01206
0.9749, 0.64401, 0.15946, 0.18587, 0.13161, 0.15453, 0.01211
0.9749, 0.64287, 0.15918, 0.1857, 0.13141, 0.15412, 0.01205
0.9749, 0.6421, 0.15901, 0.1855, 0.13123, 0.15405, 0.01185
0.9749, 0.64142, 0.15887, 0.18538, 0.13107, 0.15378, 0.01192
0.9749, 0.64154, 0.15897, 0.18536, 0.13106, 0.15379, 0.01184
0.9749, 0.64186, 0.15901, 0.18551, 0.13119, 0.15389, 0.01184
0.9749, 0.6417, 0.15888, 0.18541, 0.13116, 0.15396, 0.01188
0.9749, 0.64366, 0.1594, 0.18578, 0.1316, 0.15445, 0.01203
0.9749, 0.64406, 0.15956, 0.18591, 0.13174, 0.15433, 0.01211
0.9749, 0.64289, 0.15931, 0.18566, 0.13137, 0.1541, 0.01203
0.9749, 0.64285, 0.15921, 0.18554, 0.13158, 0.15406, 0.01205
0.9749, 0.64577, 0.15981, 0.18628, 0.13216, 0.15485, 0.01226
0.9749, 0.64384, 0.15953, 0.18586, 0.13154, 0.15444, 0.01206
0.9749, 0.64306, 0.15927, 0.18574, 0.13144, 0.15415, 0.01204
0.9749, 0.6443, 0.15954, 0.18594, 0.13171, 0.15459, 0.01207
0.9749, 0.64487, 0.15954, 0.18611, 0.13188, 0.15478, 0.01212
0.9749, 0.64427, 0.15925, 0.18603, 0.13192, 0.15452, 0.01215
0.9749, 0.64304, 0.15938, 0.18563, 0.1314, 0.15414, 0.0121
0.9749, 0.64491, 0.15951, 0.18631, 0.13182, 0.15472, 0.0121
0.9749, 0.64316, 0.15903, 0.18583, 0.13155, 0.15422, 0.01214
0.9749, 0.64276, 0.15927, 0.18561, 0.13126, 0.15416, 0.01207
0.9749, 0.64482, 0.15958, 0.18615, 0.13184, 0.15466, 0.01218
0.9749, 0.64229, 0.15911, 0.18564, 0.13117, 0.15396, 0.012
0.9749, 0.64331, 0.15925, 0.18581, 0.13149, 0.15419, 0.01204
0.9749, 0.64139, 0.15891, 0.18528, 0.13105, 0.15365, 0.01192
0.9749, 0.64437, 0.1596, 0.18604, 0.13174, 0.15442, 0.01214
0.9749, 0.64411, 0.15949, 0.18601, 0.13168, 0.15436, 0.01215
0.9749, 0.64241, 0.15912, 0.18556, 0.13126, 0.15395, 0.01196
0.9749, 0.64478, 0.15965, 0.18616, 0.13182, 0.15462, 0.01212
0.9749, 0.64263, 0.15916, 0.18558, 0.1313, 0.15411, 0.01209
0.9749, 0.64265, 0.15915, 0.18549, 0.13134, 0.15424, 0.01203
0.9749, 0.64296, 0.15924, 0.18558, 0.13124, 0.15444, 0.01205
0.9749, 0.64265, 0.15925, 0.18561, 0.13138, 0.15392, 0.01208
0.9749, 0.64157, 0.15896, 0.18541, 0.13105, 0.15389, 0.01186
0.9749, 0.64373, 0.15941, 0.18589, 0.13157, 0.15438, 0.01207
0.9749, 0.6435, 0.15932, 0.18578, 0.13155, 0.1544, 0.01205
0.9749, 0.64397, 0.15956, 0.18597, 0.13162, 0.15429, 0.0121
0.9749, 0.64217, 0.15892, 0.1855, 0.13128, 0.15402, 0.01203
0.9749, 0.64292, 0.15919, 0.18561, 0.13145, 0.15417, 0.01209
0.9749, 0.64258, 0.15916, 0.18559, 0.13128, 0.15409, 0.01205
0.9749, 0.64182, 0.15903, 0.18546, 0.13108, 0.15391, 0.01192
0.9749, 0.64308, 0.15925, 0.18563, 0.13135, 0.15429, 0.01213
0.9749, 0.64331, 0.15961, 0.18563, 0.13148, 0.15412, 0.01189
0.9749, 0.642, 0.15909, 0.18541, 0.13123, 0.15401, 0.01185
0.9749, 0.64333, 0.15942, 0.18565, 0.13175, 0.15409, 0.01186
0.9749, 0.64265, 0.15927, 0.18572, 0.13132, 0.15404, 0.01185
0.9749, 0.64218, 0.15915, 0.18546, 0.13129, 0.15403, 0.01185
0.9749, 0.64268, 0.15919, 0.18554, 0.13129, 0.15416, 0.01205
0.9749, 0.64165, 0.15898, 0.18539, 0.13112, 0.15389, 0.01185
0.9749, 0.64187, 0.15898, 0.18548, 0.13119, 0.15394, 0.01187
0.9749, 0.64223, 0.15924, 0.18548, 0.1312, 0.15395, 0.01197
0.9749, 0.64191, 0.15908, 0.18542, 0.13113, 0.154, 0.01188
0.9749, 0.64233, 0.1592, 0.18551, 0.13126, 0.15407, 0.01189
