Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.61188, 0.19689, 0.24784, 0.15449, 0.01237
0.9749, 0.61242, 0.19698, 0.24802, 0.15472, 0.0124
0.9749, 0.61258, 0.19704, 0.248, 0.15473, 0.01253
0.9749, 0.61257, 0.19708, 0.24815, 0.15464, 0.01243
0.9749, 0.61264, 0.19694, 0.24826, 0.15458, 0.01258
0.9749, 0.61268, 0.19693, 0.24825, 0.15469, 0.01253
0.9749, 0.61231, 0.1969, 0.24801, 0.15461, 0.01251
0.9749, 0.61232, 0.19687, 0.24799, 0.15463, 0.01254
0.9749, 0.61294, 0.1971, 0.24829, 0.15473, 0.01254
0.9749, 0.61289, 0.19703, 0.24827, 0.15477, 0.01252
0.9749, 0.61243, 0.19696, 0.24806, 0.15466, 0.01245
0.9749, 0.61281, 0.19711, 0.24816, 0.15476, 0.0125
0.9749, 0.61233, 0.19703, 0.24807, 0.15453, 0.0124
0.9749, 0.61247, 0.19702, 0.24809, 0.1547, 0.01237
0.9749, 0.61208, 0.19686, 0.24796, 0.1546, 0.01237
0.9749, 0.61238, 0.19692, 0.24808, 0.15472, 0.01236
0.9749, 0.61242, 0.19698, 0.24802, 0.15469, 0.01242
0.9749, 0.61286, 0.19729, 0.24816, 0.1547, 0.01244
0.9749, 0.61232, 0.19689, 0.24801, 0.15468, 0.01245
0.9749, 0.6124, 0.19702, 0.24795, 0.15471, 0.01242
0.9749, 0.61201, 0.19677, 0.24798, 0.15458, 0.0124
0.9749, 0.61239, 0.19701, 0.24804, 0.15466, 0.01239
0.9749, 0.61231, 0.19694, 0.24816, 0.15446, 0.01247
0.9749, 0.61173, 0.19684, 0.24791, 0.15442, 0.01227
0.9749, 0.61171, 0.19666, 0.24803, 0.15451, 0.01223
0.9749, 0.61167, 0.19655, 0.24797, 0.15449, 0.01236
0.9749, 0.61196, 0.19667, 0.248, 0.1546, 0.01239
0.9749, 0.61234, 0.19677, 0.24823, 0.15461, 0.01244
0.9749, 0.61181, 0.19665, 0.24791, 0.15458, 0.01239
0.9749, 0.61244, 0.19682, 0.24824, 0.15472, 0.01236
0.9749, 0.61193, 0.19665, 0.24812, 0.15449, 0.01238
0.9749, 0.61202, 0.19671, 0.24815, 0.15452, 0.01236
0.9749, 0.61219, 0.19666, 0.24808, 0.15469, 0.01246
0.9749, 0.61227, 0.19676, 0.2481, 0.15455, 0.01257
0.9749, 0.61228, 0.19675, 0.24814, 0.15472, 0.01239
0.9749, 0.61213, 0.19669, 0.24813, 0.1546, 0.01243
0.9749, 0.61198, 0.19668, 0.24803, 0.15446, 0.01253
0.9749, 0.61259, 0.19699, 0.24821, 0.15463, 0.01247
0.9749, 0.6124, 0.19693, 0.24808, 0.15455, 0.01254
0.9749, 0.61202, 0.19695, 0.24793, 0.15453, 0.01233
0.9749, 0.61274, 0.19705, 0.24817, 0.1548, 0.01244
0.9749, 0.6125, 0.19699, 0.24818, 0.15458, 0.01246
0.9749, 0.61266, 0.19708, 0.24824, 0.15461, 0.01243
0.9749, 0.61251, 0.19704, 0.24805, 0.15456, 0.01259
0.9749, 0.6128, 0.19712, 0.24815, 0.15469, 0.01257
0.9749, 0.61295, 0.19712, 0.24822, 0.15479, 0.01253
0.9749, 0.61237, 0.19698, 0.24794, 0.15461, 0.01255
0.9749, 0.61253, 0.19703, 0.24806, 0.15467, 0.01248
0.9749, 0.61259, 0.19705, 0.24813, 0.15467, 0.01244
0.9749, 0.61247, 0.19711, 0.248, 0.15463, 0.01244
0.9749, 0.61256, 0.19709, 0.24805, 0.1547, 0.01244
0.9749, 0.61245, 0.19693, 0.24808, 0.15473, 0.01242
0.9749, 0.61362, 0.19737, 0.24831, 0.1552, 0.01245
