Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.65687, 0.17443, 0.18515, 0.13126, 0.15382, 0.01177
0.9749, 0.65767, 0.17469, 0.18538, 0.13134, 0.15395, 0.01189
0.9749, 0.65739, 0.17447, 0.18533, 0.13123, 0.15398, 0.01194
0.9749, 0.65645, 0.17434, 0.1851, 0.13109, 0.15371, 0.01179
0.9749, 0.6569, 0.17443, 0.18514, 0.13111, 0.15386, 0.01192
0.9749, 0.65841, 0.17452, 0.1857, 0.13158, 0.15428, 0.01191
0.9749, 0.65749, 0.17448, 0.18537, 0.13125, 0.15407, 0.01189
0.9749, 0.66015, 0.17514, 0.18612, 0.13202, 0.1544, 0.01205
0.9749, 0.65987, 0.17505, 0.18593, 0.13192, 0.15452, 0.01201
0.9749, 0.66033, 0.17527, 0.18603, 0.13187, 0.15465, 0.01209
0.9749, 0.6579, 0.17456, 0.18541, 0.1313, 0.1542, 0.01199
0.9749, 0.65951, 0.17488, 0.18587, 0.13169, 0.15462, 0.01188
0.9749, 0.66038, 0.1753, 0.18617, 0.13185, 0.15461, 0.01197
0.9749, 0.66265, 0.17561, 0.18669, 0.13225, 0.15509, 0.01238
0.9749, 0.67549, 0.17641, 0.19257, 0.13688, 0.15618, 0.01292
0.9749, 0.85042, 0.21329, 0.22388, 0.1694, 0.19329, 0.04455
0.9749, 0.81866, 0.2062, 0.21822, 0.16426, 0.18633, 0.03819
0.9749, 0.75542, 0.1935, 0.2057, 0.1508, 0.1736, 0.02862
0.9749, 0.70618, 0.18388, 0.19512, 0.14102, 0.1639, 0.02026
0.9749, 0.66346, 0.1756, 0.18681, 0.13253, 0.15499, 0.01305
0.9749, 0.66459, 0.17587, 0.1871, 0.13258, 0.1553, 0.01328
0.9749, 0.66364, 0.17571, 0.18666, 0.13238, 0.15532, 0.01307
0.9749, 0.66371, 0.1758, 0.18662, 0.13232, 0.15536, 0.0131
0.9749, 0.66394, 0.17598, 0.18667, 0.13234, 0.15531, 0.01319
0.9749, 0.66335, 0.17586, 0.1866, 0.13226, 0.15509, 0.01307
0.9749, 0.66315, 0.17547, 0.18675, 0.13226, 0.15518, 0.01302
0.9749, 0.66413, 0.17591, 0.18681, 0.13246, 0.15524, 0.01325
0.9749, 0.66311, 0.17567, 0.18643, 0.13215, 0.1552, 0.01319
0.9749, 0.66297, 0.17563, 0.18654, 0.13218, 0.15517, 0.01299
0.9749, 0.66368, 0.1758, 0.18672, 0.13239, 0.15507, 0.01325
0.9749, 0.66406, 0.17583, 0.18681, 0.13248, 0.15521, 0.01325
0.9749, 0.66333, 0.1758, 0.18667, 0.13229, 0.15498, 0.01313
0.9749, 0.66366, 0.17598, 0.1867, 0.13237, 0.15509, 0.01306
