Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.55762, 0.15875, 0.23148, 0.15471, 0.01239
0.9749, 0.55661, 0.15867, 0.23104, 0.1544, 0.01221
0.9749, 0.55696, 0.15869, 0.23101, 0.1546, 0.01237
0.9749, 0.55704, 0.15863, 0.2311, 0.15455, 0.01248
0.9749, 0.55705, 0.15867, 0.23118, 0.1545, 0.01241
0.9749, 0.55703, 0.15865, 0.23114, 0.15449, 0.01244
0.9749, 0.55692, 0.15873, 0.23101, 0.15452, 0.01236
0.9749, 0.55676, 0.15866, 0.23098, 0.1545, 0.01233
0.9749, 0.55744, 0.15876, 0.23129, 0.15469, 0.01241
0.9749, 0.55885, 0.15902, 0.23182, 0.15505, 0.01268
0.9749, 0.56001, 0.15933, 0.23216, 0.15545, 0.01275
0.9749, 0.55926, 0.15918, 0.23166, 0.15545, 0.01264
0.9749, 0.55844, 0.15891, 0.23164, 0.15501, 0.01257
0.9749, 0.55953, 0.15923, 0.23207, 0.15537, 0.01257
0.9749, 0.56087, 0.15955, 0.23236, 0.15569, 0.01295
0.9749, 0.56141, 0.15978, 0.23245, 0.15594, 0.01292
0.9749, 0.5612, 0.15975, 0.23225, 0.15591, 0.01296
0.9749, 0.56007, 0.15943, 0.23206, 0.1554, 0.01284
0.9749, 0.561, 0.15974, 0.23234, 0.15589, 0.01273
0.9749, 0.56, 0.15928, 0.23211, 0.15544, 0.01285
0.9749, 0.56027, 0.15952, 0.23223, 0.15549, 0.01271
0.9749, 0.55897, 0.15925, 0.23155, 0.15533, 0.01253
0.9749, 0.56037, 0.15935, 0.2322, 0.15577, 0.01274
0.9749, 0.56027, 0.15967, 0.23185, 0.1556, 0.01282
0.9749, 0.56088, 0.15994, 0.23224, 0.1556, 0.01278
0.9749, 0.56047, 0.15945, 0.23218, 0.15563, 0.01289
0.9749, 0.56479, 0.16113, 0.23329, 0.15685, 0.01319
0.9749, 0.56133, 0.15987, 0.23253, 0.15583, 0.0128
0.9749, 0.56095, 0.15989, 0.23238, 0.15563, 0.01275
0.9749, 0.56088, 0.15993, 0.23229, 0.15567, 0.0127
0.9749, 0.55961, 0.15938, 0.232, 0.15525, 0.01266
0.9749, 0.55697, 0.15862, 0.2311, 0.1546, 0.01237
0.9749, 0.55653, 0.15834, 0.23109, 0.15443, 0.01238
0.9749, 0.55682, 0.15845, 0.23117, 0.15451, 0.0124
0.9749, 0.55695, 0.15846, 0.23115, 0.15466, 0.0124
0.9749, 0.55676, 0.15837, 0.23099, 0.15458, 0.01251
0.9749, 0.55677, 0.15839, 0.23117, 0.1545, 0.01242
0.9749, 0.55675, 0.1584, 0.23111, 0.15453, 0.01243
0.9749, 0.55656, 0.15849, 0.23096, 0.15456, 0.01226
0.9749, 0.55618, 0.15831, 0.23089, 0.15444, 0.01224
0.9749, 0.5576, 0.15859, 0.23146, 0.15476, 0.0125
0.9749, 0.55643, 0.1583, 0.231, 0.15443, 0.0124
0.9749, 0.55711, 0.15861, 0.23121, 0.15465, 0.01236
0.9749, 0.55594, 0.1583, 0.23079, 0.15431, 0.01224
0.9749, 0.55615, 0.15841, 0.23096, 0.15425, 0.01223
0.9749, 0.55718, 0.15871, 0.23109, 0.15469, 0.01241
0.9749, 0.55625, 0.15834, 0.23093, 0.15436, 0.01233
0.9749, 0.55684, 0.15868, 0.23108, 0.15439, 0.0124
0.9749, 0.55637, 0.15846, 0.23091, 0.15445, 0.01228
0.9749, 0.5572, 0.15884, 0.23108, 0.15462, 0.01238
0.9749, 0.55687, 0.15862, 0.23093, 0.15455, 0.01248
0.9749, 0.55713, 0.15858, 0.2311, 0.15468, 0.01249
0.9749, 0.55571, 0.15829, 0.23066, 0.15426, 0.01221
0.9749, 0.55603, 0.15832, 0.23084, 0.15434, 0.01224
0.9749, 0.55672, 0.15854, 0.231, 0.15458, 0.01232
0.9749, 0.55693, 0.15871, 0.23096, 0.15454, 0.01243
0.9749, 0.55732, 0.15884, 0.23106, 0.15462, 0.0125
0.9749, 0.557, 0.15859, 0.23116, 0.15449, 0.01248
0.9749, 0.55706, 0.15872, 0.23111, 0.15451, 0.01244
0.9749, 0.55677, 0.15847, 0.23102, 0.15449, 0.0125
0.9749, 0.5578, 0.15871, 0.2315, 0.15478, 0.01251
0.9749, 0.55668, 0.15839, 0.23112, 0.1545, 0.01237
0.9749, 0.55638, 0.15831, 0.23103, 0.15442, 0.01233
0.9749, 0.55687, 0.1585, 0.23108, 0.15454, 0.01244
0.9749, 0.55722, 0.15854, 0.23126, 0.15467, 0.01246
0.9749, 0.55691, 0.15853, 0.23116, 0.15446, 0.01246
0.9749, 0.56055, 0.15966, 0.23227, 0.15567, 0.01265
0.9749, 0.5602, 0.15939, 0.23191, 0.15575, 0.01283
0.9749, 0.5607, 0.15958, 0.23216, 0.15579, 0.01286
0.9749, 0.56035, 0.1596, 0.23203, 0.15563, 0.01277
0.9749, 0.56131, 0.15995, 0.23228, 0.15614, 0.01262
0.9749, 0.55955, 0.15935, 0.23181, 0.15538, 0.01269
0.9749, 0.56018, 0.15952, 0.23207, 0.15563, 0.01263
0.9749, 0.5608, 0.15991, 0.23225, 0.15557, 0.01275
0.9749, 0.56074, 0.15964, 0.23217, 0.15572, 0.01289
0.9749, 0.56047, 0.15972, 0.23211, 0.15551, 0.01281
0.9749, 0.56035, 0.15964, 0.23212, 0.15563, 0.01265
0.9749, 0.56139, 0.15989, 0.23256, 0.15583, 0.0128
0.9749, 0.56069, 0.15975, 0.23215, 0.15567, 0.0128
0.9749, 0.5617, 0.16005, 0.23246, 0.15606, 0.01283
0.9749, 0.55983, 0.15949, 0.23182, 0.15541, 0.0128
0.9749, 0.56173, 0.16007, 0.23249, 0.156, 0.01286
0.9749, 0.56143, 0.15994, 0.23248, 0.15586, 0.01285
0.9749, 0.56116, 0.15983, 0.23244, 0.15586, 0.01273
0.9749, 0.56138, 0.16006, 0.2324, 0.15586, 0.01277
0.9749, 0.56126, 0.15994, 0.23231, 0.15595, 0.01276
0.9749, 0.56134, 0.16001, 0.23247, 0.1559, 0.01265
0.9749, 0.56103, 0.15988, 0.2323, 0.15576, 0.01279
0.9749, 0.56273, 0.16071, 0.2327, 0.15605, 0.01297
0.9749, 0.56076, 0.1595, 0.23248, 0.15573, 0.01276
0.9749, 0.56069, 0.15964, 0.23217, 0.15575, 0.01283
0.9749, 0.56076, 0.15962, 0.23247, 0.15562, 0.01276
0.9749, 0.56072, 0.15985, 0.23231, 0.15556, 0.0127
0.9749, 0.5607, 0.15969, 0.23241, 0.15556, 0.01274
0.9749, 0.56101, 0.15987, 0.23246, 0.15557, 0.0128
0.9749, 0.56111, 0.15973, 0.23262, 0.15564, 0.01279
0.9749, 0.56113, 0.15993, 0.23261, 0.15564, 0.01264
0.9749, 0.56059, 0.15959, 0.23244, 0.15551, 0.01273
0.9749, 0.56025, 0.15966, 0.23202, 0.15553, 0.01273
0.9749, 0.55984, 0.1594, 0.23208, 0.15529, 0.01276
