Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.56882, 0.15869, 0.24289, 0.15462, 0.01232
0.9749, 0.56855, 0.1588, 0.24273, 0.1545, 0.0122
0.9749, 0.56783, 0.15849, 0.2426, 0.15429, 0.01214
0.9749, 0.5686, 0.1585, 0.24289, 0.1546, 0.01232
0.9749, 0.56761, 0.15831, 0.24252, 0.15437, 0.01211
0.9749, 0.56781, 0.15848, 0.2426, 0.15429, 0.01214
0.9749, 0.5681, 0.15859, 0.24262, 0.15442, 0.01217
0.9749, 0.56831, 0.15837, 0.24277, 0.15452, 0.01234
0.9749, 0.5688, 0.15857, 0.24292, 0.15463, 0.01239
0.9749, 0.56782, 0.15852, 0.24249, 0.1543, 0.01222
0.9749, 0.56777, 0.15837, 0.24255, 0.15443, 0.01213
0.9749, 0.56765, 0.15843, 0.24254, 0.15427, 0.01211
0.9749, 0.56804, 0.15828, 0.24265, 0.15446, 0.01234
0.9749, 0.56846, 0.15847, 0.24268, 0.1547, 0.01232
0.9749, 0.56803, 0.15856, 0.24256, 0.15443, 0.01218
0.9749, 0.56813, 0.15857, 0.24262, 0.15442, 0.01222
0.9749, 0.56734, 0.15829, 0.24238, 0.15423, 0.01214
0.9749, 0.56826, 0.15856, 0.24272, 0.15442, 0.01226
0.9749, 0.56831, 0.15859, 0.24274, 0.15438, 0.0123
0.9749, 0.56868, 0.15867, 0.24282, 0.15457, 0.01232
0.9749, 0.56779, 0.15858, 0.24243, 0.15423, 0.01224
0.9749, 0.56916, 0.1588, 0.24301, 0.15472, 0.01232
0.9749, 0.56862, 0.15868, 0.2428, 0.15454, 0.01231
0.9749, 0.56827, 0.15852, 0.24264, 0.15446, 0.01234
0.9749, 0.56855, 0.15871, 0.24272, 0.15456, 0.01226
0.9749, 0.56742, 0.15841, 0.24241, 0.15422, 0.01205
0.9749, 0.56777, 0.15858, 0.2425, 0.15434, 0.01205
0.9749, 0.56813, 0.15863, 0.24257, 0.15444, 0.01218
0.9749, 0.56854, 0.1587, 0.24266, 0.15457, 0.0123
0.9749, 0.56852, 0.15875, 0.24258, 0.15461, 0.01228
0.9749, 0.56819, 0.15854, 0.24256, 0.15448, 0.0123
0.9749, 0.5689, 0.15872, 0.2428, 0.1547, 0.01239
0.9749, 0.56822, 0.15853, 0.2427, 0.15439, 0.01229
0.9749, 0.56833, 0.15861, 0.24261, 0.1545, 0.0123
0.9749, 0.56861, 0.15865, 0.24271, 0.1546, 0.01235
0.9749, 0.56873, 0.15874, 0.24268, 0.15471, 0.0123
0.9749, 0.56866, 0.15867, 0.24287, 0.15453, 0.01229
0.9749, 0.56792, 0.15845, 0.24258, 0.1543, 0.01228
0.9749, 0.56893, 0.15879, 0.24295, 0.15458, 0.01232
0.9749, 0.5684, 0.15849, 0.24276, 0.15454, 0.01231
0.9749, 0.5684, 0.15843, 0.24295, 0.15437, 0.01236
0.9749, 0.56836, 0.1584, 0.2428, 0.15452, 0.01234
0.9749, 0.56821, 0.15855, 0.24269, 0.15444, 0.01222
0.9749, 0.56801, 0.15849, 0.2426, 0.15444, 0.01218
0.9749, 0.56754, 0.15845, 0.24252, 0.15413, 0.01215
0.9749, 0.56796, 0.1585, 0.2426, 0.15437, 0.01218
0.9749, 0.56759, 0.15844, 0.24246, 0.15423, 0.01216
0.9749, 0.56804, 0.15841, 0.24263, 0.1544, 0.01231
0.9749, 0.56747, 0.15828, 0.24244, 0.15426, 0.01217
0.9749, 0.56828, 0.15842, 0.24274, 0.1545, 0.01231
0.9749, 0.56811, 0.15837, 0.24267, 0.15446, 0.01232
0.9749, 0.56824, 0.15852, 0.24275, 0.15437, 0.01231
