Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.58444, 0.17447, 0.2429, 0.15439, 0.01238
0.9749, 0.58535, 0.1748, 0.24308, 0.15471, 0.01246
0.9749, 0.58471, 0.1745, 0.24294, 0.15456, 0.01242
0.9749, 0.58494, 0.17456, 0.24303, 0.15456, 0.01249
0.9749, 0.5853, 0.17464, 0.24317, 0.15475, 0.01245
0.9749, 0.58473, 0.17461, 0.24293, 0.15454, 0.01235
0.9749, 0.58443, 0.17446, 0.24292, 0.15453, 0.01223
0.9749, 0.58448, 0.17445, 0.24291, 0.15449, 0.01233
0.9749, 0.58487, 0.17461, 0.243, 0.15471, 0.01226
0.9749, 0.58452, 0.17444, 0.24288, 0.15458, 0.01231
0.9749, 0.58446, 0.17443, 0.24289, 0.15441, 0.01243
0.9749, 0.58445, 0.17448, 0.24284, 0.15456, 0.01228
0.9749, 0.58441, 0.17443, 0.24282, 0.15453, 0.01234
0.9749, 0.58477, 0.17455, 0.24291, 0.15466, 0.01235
0.9749, 0.58469, 0.17449, 0.24287, 0.15462, 0.01243
0.9749, 0.58481, 0.1746, 0.24285, 0.15468, 0.01238
0.9749, 0.58427, 0.17441, 0.24268, 0.1545, 0.01237
0.9749, 0.58404, 0.17433, 0.24268, 0.15443, 0.01229
0.9749, 0.58451, 0.17453, 0.24279, 0.15457, 0.01232
0.9749, 0.58485, 0.17462, 0.2429, 0.15461, 0.01242
0.9749, 0.58475, 0.17462, 0.24298, 0.15453, 0.01234
0.9749, 0.58463, 0.17454, 0.24303, 0.15441, 0.01235
0.9749, 0.5844, 0.17442, 0.24289, 0.15441, 0.01238
0.9749, 0.58478, 0.17455, 0.24289, 0.15465, 0.01239
0.9749, 0.58434, 0.17447, 0.2428, 0.1544, 0.01238
0.9749, 0.58516, 0.1747, 0.24304, 0.15473, 0.01237
0.9749, 0.58465, 0.17457, 0.24278, 0.15465, 0.01236
0.9749, 0.58499, 0.17464, 0.2429, 0.15471, 0.01242
0.9749, 0.58461, 0.17454, 0.24287, 0.15454, 0.01236
0.9749, 0.58496, 0.17463, 0.24298, 0.15463, 0.01242
0.9749, 0.5847, 0.17455, 0.24288, 0.15457, 0.01239
