Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.96417, 0.22235, 0.24928, 0.19862, 0.22015, 0.06612
0.9749, 1.02081, 0.23462, 0.26167, 0.20978, 0.23175, 0.07495
0.9749, 0.81851, 0.19231, 0.22167, 0.16821, 0.19036, 0.04186
0.9749, 0.70076, 0.16911, 0.19806, 0.14387, 0.16623, 0.02215
0.9749, 0.64857, 0.15848, 0.18737, 0.13288, 0.15539, 0.01398
0.9749, 0.66342, 0.1606, 0.19052, 0.13659, 0.15871, 0.01631
0.9749, 0.64842, 0.15781, 0.18772, 0.13292, 0.15588, 0.01363
0.9749, 0.64656, 0.15773, 0.1868, 0.13259, 0.15541, 0.01347
0.9749, 0.64711, 0.15747, 0.18724, 0.13267, 0.15562, 0.01365
0.9749, 0.64672, 0.15772, 0.18703, 0.13257, 0.15535, 0.01352
0.9749, 0.64793, 0.1576, 0.18733, 0.133, 0.15573, 0.01375
0.9749, 0.64621, 0.15715, 0.18703, 0.13285, 0.15514, 0.01357
0.9749, 0.64563, 0.15712, 0.18679, 0.13254, 0.15514, 0.01343
0.9749, 0.64645, 0.15729, 0.18699, 0.13276, 0.15533, 0.01361
0.9749, 0.64654, 0.15734, 0.18756, 0.13269, 0.15521, 0.01327
0.9749, 0.64005, 0.15612, 0.18565, 0.13144, 0.15411, 0.01231
0.9749, 0.64097, 0.15644, 0.18589, 0.13161, 0.15418, 0.0124
0.9749, 0.64097, 0.15637, 0.18585, 0.1317, 0.15424, 0.01239
0.9749, 0.64244, 0.15677, 0.18623, 0.13201, 0.15456, 0.01245
0.9749, 0.64138, 0.1564, 0.18592, 0.13177, 0.15438, 0.01247
0.9749, 0.6431, 0.15688, 0.18647, 0.13211, 0.15479, 0.01243
0.9749, 0.6415, 0.15656, 0.18603, 0.13167, 0.15431, 0.01251
0.9749, 0.6426, 0.1566, 0.1863, 0.13213, 0.15468, 0.01247
0.9749, 0.64094, 0.15628, 0.18589, 0.13162, 0.15427, 0.01245
0.9749, 0.64359, 0.15692, 0.18643, 0.13224, 0.15497, 0.01261
0.9749, 0.64393, 0.15677, 0.18671, 0.13243, 0.15513, 0.01248
0.9749, 0.64272, 0.15649, 0.18643, 0.132, 0.15474, 0.01264
0.9749, 0.64132, 0.15613, 0.18618, 0.13173, 0.1544, 0.01245
0.9749, 0.64067, 0.15611, 0.18579, 0.13157, 0.15425, 0.01253
0.9749, 0.64092, 0.15608, 0.18604, 0.13173, 0.15424, 0.01241
0.9749, 0.6409, 0.15615, 0.18596, 0.13167, 0.15425, 0.01245
0.9749, 0.64153, 0.15628, 0.18608, 0.13187, 0.1545, 0.01237
0.9749, 0.64245, 0.15654, 0.18631, 0.13186, 0.15491, 0.01241
0.9749, 0.64114, 0.15633, 0.18592, 0.13166, 0.15436, 0.0123
0.9749, 0.64113, 0.15626, 0.18594, 0.13157, 0.15448, 0.01245
0.9749, 0.64064, 0.15607, 0.18587, 0.13152, 0.15437, 0.01239
0.9749, 0.64081, 0.15615, 0.18591, 0.13159, 0.15435, 0.01241
0.9749, 0.64145, 0.15632, 0.18602, 0.1317, 0.1545, 0.01249
0.9749, 0.64241, 0.15652, 0.18619, 0.13211, 0.15473, 0.01245
0.9749, 0.63974, 0.15615, 0.18557, 0.1313, 0.15415, 0.01217
0.9749, 0.64125, 0.15632, 0.18595, 0.13172, 0.15448, 0.01236
0.9749, 0.64026, 0.15598, 0.18575, 0.13144, 0.15427, 0.01238
0.9749, 0.64073, 0.15603, 0.18589, 0.1316, 0.15443, 0.01238
0.9749, 0.64047, 0.156, 0.18585, 0.13152, 0.15432, 0.01237
0.9749, 0.64269, 0.15677, 0.18619, 0.13221, 0.15464, 0.01246
0.9749, 0.64109, 0.15637, 0.18583, 0.13156, 0.1545, 0.01242
0.9749, 0.6407, 0.15622, 0.18575, 0.13145, 0.15443, 0.01244
0.9749, 0.64132, 0.15645, 0.18584, 0.13165, 0.15452, 0.01244
0.9749, 0.641, 0.1563, 0.18583, 0.13157, 0.15446, 0.0124
0.9749, 0.64166, 0.15651, 0.18599, 0.13183, 0.15449, 0.01243
0.9749, 0.64054, 0.15622, 0.18571, 0.13148, 0.15442, 0.01231
0.9749, 0.64013, 0.15625, 0.18563, 0.13139, 0.15409, 0.01235
0.9749, 0.64111, 0.15643, 0.1859, 0.13155, 0.15443, 0.01238
0.9749, 0.64139, 0.15636, 0.18593, 0.13162, 0.15464, 0.01238
0.9749, 0.63957, 0.15606, 0.18553, 0.13123, 0.15402, 0.01219
0.9749, 0.64257, 0.15677, 0.18647, 0.13193, 0.15457, 0.01242
0.9749, 0.641, 0.15634, 0.18591, 0.13164, 0.15431, 0.0124
0.9749, 0.64048, 0.15635, 0.18569, 0.13147, 0.15424, 0.01233
0.9749, 0.63979, 0.15615, 0.18559, 0.13133, 0.15405, 0.01214
0.9749, 0.64023, 0.15623, 0.18569, 0.13148, 0.15427, 0.01216
0.9749, 0.64102, 0.1564, 0.18586, 0.13157, 0.15442, 0.01235
0.9749, 0.64163, 0.15648, 0.18609, 0.13166, 0.15461, 0.01238
0.9749, 0.64119, 0.15637, 0.18587, 0.13159, 0.15456, 0.01239
0.9749, 0.64208, 0.1566, 0.18608, 0.13184, 0.15467, 0.01248
0.9749, 0.64099, 0.15627, 0.18582, 0.13154, 0.1545, 0.01241
