Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.57617, 0.15912, 0.24889, 0.15525, 0.0126
0.9749, 0.5779, 0.15969, 0.24937, 0.15579, 0.01275
0.9749, 0.5756, 0.15891, 0.24878, 0.15508, 0.01253
0.9749, 0.57758, 0.15934, 0.24964, 0.15562, 0.01267
0.9749, 0.57788, 0.15957, 0.24955, 0.15572, 0.01273
0.9749, 0.57752, 0.15942, 0.24938, 0.15566, 0.01274
0.9749, 0.57663, 0.15917, 0.24902, 0.15539, 0.01273
0.9749, 0.57672, 0.1591, 0.24919, 0.15529, 0.01283
0.9749, 0.57651, 0.15903, 0.24907, 0.15546, 0.01264
0.9749, 0.57605, 0.15905, 0.2488, 0.15544, 0.01247
0.9749, 0.57525, 0.15872, 0.24874, 0.15504, 0.01242
0.9749, 0.57547, 0.15887, 0.24867, 0.1553, 0.01234
0.9749, 0.57581, 0.15907, 0.24877, 0.1552, 0.01248
0.9749, 0.57642, 0.15918, 0.24892, 0.15549, 0.01253
0.9749, 0.57656, 0.15921, 0.24901, 0.15549, 0.01256
0.9749, 0.57654, 0.15919, 0.24909, 0.15541, 0.01254
0.9749, 0.57675, 0.1593, 0.24914, 0.15549, 0.01251
0.9749, 0.57625, 0.15933, 0.24873, 0.15531, 0.01258
0.9749, 0.57636, 0.1593, 0.24896, 0.15521, 0.01257
0.9749, 0.57631, 0.15925, 0.24887, 0.15541, 0.01246
0.9749, 0.57654, 0.15926, 0.24914, 0.1553, 0.01254
0.9749, 0.57564, 0.15903, 0.24859, 0.15539, 0.01233
0.9749, 0.57646, 0.15924, 0.24896, 0.15557, 0.0124
0.9749, 0.57482, 0.15884, 0.24835, 0.15511, 0.0122
0.9749, 0.57487, 0.15875, 0.24849, 0.15511, 0.01222
0.9749, 0.57633, 0.15926, 0.24888, 0.15545, 0.01244
0.9749, 0.57647, 0.15936, 0.24885, 0.15552, 0.01243
0.9749, 0.5765, 0.15925, 0.24902, 0.15543, 0.01248
0.9749, 0.57499, 0.15893, 0.24844, 0.15511, 0.01221
0.9749, 0.57544, 0.15903, 0.24848, 0.15517, 0.01245
0.9749, 0.57643, 0.15913, 0.24887, 0.15559, 0.01252
0.9749, 0.57663, 0.15911, 0.24895, 0.15564, 0.01261
0.9749, 0.57666, 0.15935, 0.24886, 0.1556, 0.01255
0.9749, 0.57673, 0.15929, 0.24889, 0.15578, 0.01248
0.9749, 0.57652, 0.15923, 0.24891, 0.15553, 0.01255
0.9749, 0.57522, 0.15887, 0.24854, 0.15518, 0.01233
0.9749, 0.57517, 0.15881, 0.24859, 0.15512, 0.01236
0.9749, 0.5766, 0.15912, 0.24896, 0.15559, 0.01263
0.9749, 0.57653, 0.15927, 0.24886, 0.15544, 0.01266
0.9749, 0.57695, 0.15929, 0.24906, 0.1557, 0.0126
0.9749, 0.57573, 0.15919, 0.24856, 0.15519, 0.0125
0.9749, 0.57645, 0.15928, 0.24892, 0.15545, 0.01248
0.9749, 0.5769, 0.15939, 0.24907, 0.15551, 0.01261
0.9749, 0.57652, 0.15924, 0.24899, 0.15552, 0.01246
0.9749, 0.57644, 0.15912, 0.24896, 0.15547, 0.01257
0.9749, 0.57653, 0.15932, 0.249, 0.15545, 0.01245
0.9749, 0.57682, 0.15921, 0.24923, 0.15556, 0.01253
0.9749, 0.57697, 0.15951, 0.24899, 0.15566, 0.01252
0.9749, 0.57641, 0.15937, 0.24894, 0.15531, 0.01246
0.9749, 0.57626, 0.15922, 0.24893, 0.15533, 0.01247
0.9749, 0.57654, 0.15931, 0.24889, 0.15556, 0.01248
0.9749, 0.57565, 0.15902, 0.24869, 0.15529, 0.01235
0.9749, 0.57509, 0.15896, 0.24849, 0.15512, 0.01223
0.9749, 0.57655, 0.15932, 0.24889, 0.15552, 0.01253
0.9749, 0.57651, 0.1592, 0.24888, 0.15566, 0.01248
0.9749, 0.5762, 0.1591, 0.24877, 0.15544, 0.01258
0.9749, 0.57621, 0.1592, 0.24884, 0.15539, 0.01247
0.9749, 0.57593, 0.15877, 0.24904, 0.15533, 0.01249
0.9749, 0.60864, 0.16991, 0.25855, 0.16718, 0.01268
0.9749, 0.57422, 0.15857, 0.24841, 0.15464, 0.01231
0.9749, 0.57398, 0.15841, 0.24817, 0.15471, 0.01239
0.9749, 0.57423, 0.15851, 0.24829, 0.1547, 0.01242
0.9749, 0.5738, 0.15829, 0.24818, 0.15466, 0.01237
0.9749, 0.57351, 0.15834, 0.24805, 0.15451, 0.01232
0.9749, 0.57382, 0.15842, 0.24822, 0.15454, 0.01235
0.9749, 0.57379, 0.15845, 0.24816, 0.15457, 0.0123
0.9749, 0.5739, 0.15849, 0.2482, 0.15453, 0.01239
0.9749, 0.57388, 0.15839, 0.24821, 0.1546, 0.01238
0.9749, 0.57419, 0.15848, 0.24833, 0.1547, 0.01239
0.9749, 0.57368, 0.15834, 0.24808, 0.1546, 0.01236
0.9749, 0.57389, 0.1585, 0.24813, 0.15464, 0.01232
0.9749, 0.57386, 0.15831, 0.2482, 0.15466, 0.0124
0.9749, 0.57373, 0.1584, 0.24805, 0.15467, 0.01231
0.9749, 0.57384, 0.15831, 0.24813, 0.15476, 0.01236
0.9749, 0.57334, 0.15809, 0.2482, 0.15455, 0.01221
0.9749, 0.57421, 0.1585, 0.24833, 0.15472, 0.01238
0.9749, 0.57348, 0.15826, 0.24816, 0.15447, 0.0123
0.9749, 0.57379, 0.15834, 0.24819, 0.15466, 0.01232
0.9749, 0.57373, 0.15838, 0.2481, 0.15462, 0.01234
0.9749, 0.57392, 0.15839, 0.24821, 0.1546, 0.01243
0.9749, 0.57383, 0.15833, 0.2482, 0.15464, 0.01237
0.9749, 0.57393, 0.15834, 0.24829, 0.15464, 0.01237
0.9749, 0.57436, 0.15857, 0.24834, 0.15484, 0.01233
0.9749, 0.57293, 0.15806, 0.2481, 0.15433, 0.01214
0.9749, 0.57312, 0.15809, 0.24812, 0.15442, 0.0122
0.9749, 0.57309, 0.15812, 0.24803, 0.15439, 0.01226
0.9749, 0.57307, 0.15815, 0.24796, 0.1545, 0.01216
0.9749, 0.57264, 0.15803, 0.24788, 0.15428, 0.01216
0.9749, 0.57295, 0.15814, 0.24799, 0.15438, 0.01216
0.9749, 0.57374, 0.15838, 0.24818, 0.1546, 0.01228
0.9749, 0.57359, 0.15831, 0.24805, 0.15458, 0.01234
0.9749, 0.57384, 0.15835, 0.24817, 0.15464, 0.01238
0.9749, 0.57391, 0.15843, 0.24817, 0.15466, 0.01235
0.9749, 0.57337, 0.1583, 0.24808, 0.15453, 0.01218
0.9749, 0.57309, 0.1581, 0.24806, 0.15444, 0.0122
0.9749, 0.57312, 0.15831, 0.24793, 0.15441, 0.01217
0.9749, 0.57402, 0.15838, 0.24826, 0.1547, 0.01238
0.9749, 0.57279, 0.15801, 0.24786, 0.15445, 0.01218
0.9749, 0.57319, 0.15821, 0.24811, 0.15441, 0.01216
0.9749, 0.57313, 0.1581, 0.24801, 0.15455, 0.01218
