Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.60076, 0.19717, 0.23636, 0.15445, 0.01249
0.9749, 0.60054, 0.19706, 0.23631, 0.15435, 0.01252
0.9749, 0.60147, 0.19723, 0.23655, 0.15477, 0.01264
0.9749, 0.60073, 0.19707, 0.23631, 0.1544, 0.01265
0.9749, 0.60164, 0.19736, 0.23653, 0.15474, 0.01272
0.9749, 0.60123, 0.19745, 0.23633, 0.15454, 0.01263
0.9749, 0.60039, 0.19716, 0.23618, 0.15428, 0.01247
0.9749, 0.6009, 0.19741, 0.23639, 0.15451, 0.01229
0.9749, 0.60051, 0.19734, 0.23628, 0.15435, 0.01226
0.9749, 0.60147, 0.19773, 0.23631, 0.15462, 0.01252
0.9749, 0.60134, 0.19762, 0.23631, 0.15464, 0.01249
0.9749, 0.60164, 0.19768, 0.23647, 0.1547, 0.01249
0.9749, 0.60094, 0.19739, 0.23631, 0.15457, 0.01238
0.9749, 0.60059, 0.19732, 0.23621, 0.15451, 0.01226
0.9749, 0.60101, 0.19737, 0.23627, 0.15464, 0.01243
0.9749, 0.60133, 0.19754, 0.23632, 0.15467, 0.0125
0.9749, 0.60116, 0.19748, 0.23635, 0.15455, 0.01249
0.9749, 0.60165, 0.19766, 0.23645, 0.15481, 0.01244
0.9749, 0.60041, 0.19728, 0.23606, 0.15439, 0.01237
0.9749, 0.60123, 0.19749, 0.2364, 0.15461, 0.01244
0.9749, 0.601, 0.19739, 0.23629, 0.15457, 0.01246
0.9749, 0.60073, 0.19736, 0.23621, 0.1544, 0.01246
0.9749, 0.60089, 0.19741, 0.23617, 0.15455, 0.01245
0.9749, 0.60124, 0.19749, 0.23627, 0.15467, 0.01252
0.9749, 0.60133, 0.19755, 0.23638, 0.15464, 0.01247
0.9749, 0.6012, 0.19751, 0.23632, 0.1546, 0.01247
0.9749, 0.60095, 0.1974, 0.23628, 0.15464, 0.01234
0.9749, 0.60143, 0.19748, 0.23651, 0.15469, 0.01246
0.9749, 0.60139, 0.19759, 0.2363, 0.15467, 0.01253
0.9749, 0.60093, 0.19748, 0.2363, 0.1545, 0.01236
0.9749, 0.60134, 0.19747, 0.2364, 0.15471, 0.01248
0.9749, 0.60076, 0.1975, 0.23617, 0.15441, 0.01239
0.9749, 0.60132, 0.19759, 0.23644, 0.15457, 0.01242
0.9749, 0.60101, 0.19738, 0.23629, 0.15454, 0.0125
0.9749, 0.6007, 0.19742, 0.23619, 0.15433, 0.01246
0.9749, 0.60141, 0.19763, 0.23636, 0.15462, 0.0125
0.9749, 0.6009, 0.19731, 0.2363, 0.15453, 0.01246
0.9749, 0.60115, 0.19747, 0.23638, 0.15457, 0.01244
0.9749, 0.60074, 0.19746, 0.2363, 0.1543, 0.01239
0.9749, 0.60148, 0.19763, 0.23658, 0.15456, 0.01242
0.9749, 0.60105, 0.19751, 0.23636, 0.15451, 0.01238
0.9749, 0.60096, 0.19738, 0.23627, 0.15458, 0.01243
0.9749, 0.60148, 0.19767, 0.23648, 0.1546, 0.01245
