Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.60762, 0.19745, 0.24274, 0.15475, 0.0124
0.9749, 0.60697, 0.19721, 0.24254, 0.15451, 0.01242
0.9749, 0.60713, 0.19734, 0.24258, 0.15454, 0.01237
0.9749, 0.60745, 0.19746, 0.24268, 0.15458, 0.01244
0.9749, 0.60722, 0.19732, 0.24268, 0.1545, 0.01243
0.9749, 0.60776, 0.19755, 0.24277, 0.15471, 0.01244
0.9749, 0.60726, 0.19749, 0.24247, 0.15457, 0.01244
0.9749, 0.60702, 0.19739, 0.24248, 0.15446, 0.0124
0.9749, 0.60758, 0.19751, 0.24275, 0.15461, 0.01241
0.9749, 0.60717, 0.19733, 0.24258, 0.15452, 0.01244
0.9749, 0.60783, 0.19768, 0.24279, 0.15472, 0.01235
0.9749, 0.60748, 0.19757, 0.24263, 0.15446, 0.01253
0.9749, 0.60836, 0.19777, 0.24294, 0.15484, 0.01251
0.9749, 0.60748, 0.19737, 0.24269, 0.15471, 0.01242
0.9749, 0.6073, 0.19749, 0.24265, 0.15443, 0.01245
0.9749, 0.60746, 0.19747, 0.24263, 0.15461, 0.01247
0.9749, 0.60758, 0.19761, 0.24267, 0.15459, 0.01243
0.9749, 0.60765, 0.19765, 0.24263, 0.15454, 0.01254
0.9749, 0.60716, 0.19743, 0.24258, 0.15443, 0.01243
0.9749, 0.60738, 0.19734, 0.24268, 0.15457, 0.0125
0.9749, 0.60759, 0.19756, 0.24276, 0.15451, 0.01246
0.9749, 0.60703, 0.19734, 0.24258, 0.15438, 0.01245
0.9749, 0.60735, 0.1975, 0.24255, 0.15455, 0.01245
0.9749, 0.60742, 0.19761, 0.2426, 0.1545, 0.01243
0.9749, 0.60644, 0.19732, 0.24232, 0.15431, 0.01221
0.9749, 0.60748, 0.19765, 0.24258, 0.15449, 0.01246
0.9749, 0.60694, 0.19743, 0.24242, 0.15441, 0.01238
0.9749, 0.60757, 0.19756, 0.24259, 0.15463, 0.0125
0.9749, 0.60793, 0.19771, 0.24278, 0.15471, 0.01244
0.9749, 0.60714, 0.19728, 0.24267, 0.15442, 0.01247
0.9749, 0.60773, 0.19773, 0.24273, 0.15456, 0.01243
0.9749, 0.60763, 0.19762, 0.24269, 0.15456, 0.01247
