Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.68529, 0.19887, 0.18642, 0.13221, 0.15499, 0.01241
0.9749, 0.68297, 0.19852, 0.18588, 0.13148, 0.15429, 0.01233
0.9749, 0.68275, 0.19829, 0.18574, 0.13158, 0.1543, 0.01232
0.9749, 0.68346, 0.19852, 0.18596, 0.13167, 0.15446, 0.01238
0.9749, 0.68368, 0.19859, 0.18606, 0.1318, 0.15439, 0.01243
0.9749, 0.68388, 0.19862, 0.18595, 0.1318, 0.15467, 0.01241
0.9749, 0.68328, 0.19864, 0.18591, 0.13158, 0.15438, 0.01236
0.9749, 0.6838, 0.19866, 0.18613, 0.13181, 0.15441, 0.01237
0.9749, 0.68383, 0.19855, 0.18613, 0.13173, 0.15453, 0.01248
0.9749, 0.68427, 0.19846, 0.18636, 0.13192, 0.15466, 0.01246
0.9749, 0.68349, 0.19845, 0.18609, 0.13171, 0.15446, 0.01237
0.9749, 0.68347, 0.19838, 0.18617, 0.13174, 0.15435, 0.01242
0.9749, 0.68308, 0.19834, 0.18593, 0.13154, 0.15442, 0.01244
0.9749, 0.68286, 0.19811, 0.18591, 0.13164, 0.15439, 0.01242
0.9749, 0.68435, 0.19848, 0.18645, 0.13182, 0.15479, 0.01239
0.9749, 0.68325, 0.19831, 0.18592, 0.13166, 0.15454, 0.01239
0.9749, 0.68318, 0.19834, 0.1859, 0.13173, 0.15434, 0.01242
0.9749, 0.68316, 0.1983, 0.18607, 0.1317, 0.15435, 0.01232
0.9749, 0.68313, 0.19847, 0.18596, 0.13173, 0.15426, 0.01232
0.9749, 0.68202, 0.19819, 0.18575, 0.13132, 0.15407, 0.0122
0.9749, 0.68321, 0.19826, 0.18598, 0.13164, 0.15442, 0.01249
0.9749, 0.68328, 0.19834, 0.18623, 0.13163, 0.15435, 0.01234
0.9749, 0.68662, 0.19897, 0.18696, 0.13272, 0.15507, 0.01249
0.9749, 0.68598, 0.19904, 0.18671, 0.13235, 0.155, 0.01247
0.9749, 0.68307, 0.19829, 0.18598, 0.13167, 0.15433, 0.0124
0.9749, 0.68416, 0.19853, 0.18628, 0.13179, 0.15476, 0.0124
0.9749, 0.68399, 0.19852, 0.18621, 0.13189, 0.15455, 0.0124
0.9749, 0.68328, 0.19838, 0.18599, 0.13169, 0.15446, 0.01235
0.9749, 0.68339, 0.19857, 0.18608, 0.13182, 0.15431, 0.01221
0.9749, 0.68361, 0.19841, 0.18616, 0.13178, 0.1545, 0.0123
0.9749, 0.68471, 0.1987, 0.18637, 0.13204, 0.15476, 0.01241
0.9749, 0.68623, 0.19905, 0.1868, 0.13234, 0.15505, 0.01257
0.9749, 0.6876, 0.19945, 0.18691, 0.13277, 0.15549, 0.01254
0.9749, 0.6839, 0.1985, 0.18625, 0.13177, 0.15458, 0.01239
0.9749, 0.68452, 0.19863, 0.1863, 0.13204, 0.15461, 0.01246
0.9749, 0.6891, 0.19978, 0.18732, 0.13311, 0.15572, 0.01274
0.9749, 0.68775, 0.19933, 0.18715, 0.13278, 0.15539, 0.01268
0.9749, 0.68303, 0.19833, 0.18591, 0.13171, 0.15431, 0.01234
0.9749, 0.68386, 0.19852, 0.18616, 0.13178, 0.15457, 0.0124
0.9749, 0.6861, 0.1991, 0.18669, 0.13247, 0.15493, 0.01249
0.9749, 0.68606, 0.19893, 0.18666, 0.1324, 0.15518, 0.01247
0.9749, 0.68762, 0.19933, 0.18692, 0.1329, 0.15549, 0.01256
0.9749, 0.683, 0.19831, 0.18596, 0.1317, 0.15425, 0.01238
0.9749, 0.68337, 0.19837, 0.1861, 0.13174, 0.15439, 0.01237
0.9749, 0.68314, 0.19822, 0.18608, 0.13168, 0.15441, 0.01235
0.9749, 0.68229, 0.19808, 0.18582, 0.13151, 0.15411, 0.01235
0.9749, 0.68316, 0.19834, 0.186, 0.13163, 0.15444, 0.01235
0.9749, 0.68309, 0.19829, 0.18602, 0.13167, 0.15439, 0.01233
0.9749, 0.68254, 0.19813, 0.18583, 0.13155, 0.15423, 0.01235
0.9749, 0.6824, 0.19809, 0.18576, 0.13161, 0.15422, 0.01232
0.9749, 0.68287, 0.19819, 0.1859, 0.13158, 0.15439, 0.0124
0.9749, 0.68267, 0.19819, 0.18585, 0.13157, 0.15427, 0.01239
0.9749, 0.68246, 0.19807, 0.18584, 0.13147, 0.15428, 0.01235
0.9749, 0.68332, 0.19855, 0.18593, 0.1316, 0.15444, 0.01237
0.9749, 0.68285, 0.19831, 0.18587, 0.13155, 0.15433, 0.01228
0.9749, 0.68202, 0.19813, 0.18563, 0.1314, 0.15417, 0.01213
0.9749, 0.68248, 0.19812, 0.18578, 0.13153, 0.15424, 0.01234
0.9749, 0.68271, 0.19818, 0.18587, 0.13161, 0.15432, 0.01234
0.9749, 0.68279, 0.19822, 0.18587, 0.13162, 0.15429, 0.01236
0.9749, 0.68253, 0.19817, 0.1859, 0.13154, 0.15417, 0.01235
0.9749, 0.68258, 0.19819, 0.18586, 0.13152, 0.15426, 0.01235
0.9749, 0.68242, 0.19811, 0.18578, 0.13156, 0.15424, 0.01232
0.9749, 0.68291, 0.19846, 0.18585, 0.13157, 0.15429, 0.01235
0.9749, 0.68258, 0.19814, 0.18587, 0.13155, 0.15429, 0.01233
0.9749, 0.68233, 0.19809, 0.18573, 0.13153, 0.1542, 0.01234
0.9749, 0.68348, 0.19844, 0.18612, 0.13167, 0.15444, 0.01241
0.9749, 0.6828, 0.19828, 0.18592, 0.13157, 0.15424, 0.01239
