Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.57869, 0.17427, 0.23726, 0.15453, 0.01234
0.9749, 0.57878, 0.17435, 0.23735, 0.15445, 0.01234
0.9749, 0.57903, 0.1744, 0.23745, 0.15451, 0.01238
0.9749, 0.57884, 0.17429, 0.23732, 0.1546, 0.01234
0.9749, 0.57919, 0.17459, 0.2375, 0.15455, 0.01225
0.9749, 0.57901, 0.17441, 0.23745, 0.15449, 0.01237
0.9749, 0.57899, 0.17442, 0.23732, 0.15452, 0.01242
0.9749, 0.57955, 0.17467, 0.23748, 0.15472, 0.01238
0.9749, 0.57864, 0.17444, 0.23726, 0.15439, 0.01226
0.9749, 0.57909, 0.17435, 0.23743, 0.15463, 0.01238
0.9749, 0.58269, 0.17553, 0.23862, 0.15547, 0.01274
0.9749, 0.58283, 0.17565, 0.23845, 0.15552, 0.01288
0.9749, 0.58245, 0.17537, 0.23832, 0.15566, 0.01279
0.9749, 0.58241, 0.17532, 0.2383, 0.15552, 0.01293
0.9749, 0.58348, 0.17572, 0.23853, 0.15595, 0.01295
0.9749, 0.58272, 0.17537, 0.23847, 0.15572, 0.01283
0.9749, 0.58271, 0.17541, 0.23829, 0.15575, 0.01293
0.9749, 0.58279, 0.17554, 0.23844, 0.1557, 0.01278
0.9749, 0.58215, 0.17528, 0.23837, 0.15527, 0.01288
0.9749, 0.58245, 0.17541, 0.23827, 0.15568, 0.01276
0.9749, 0.58147, 0.17513, 0.23821, 0.15521, 0.01262
0.9749, 0.58294, 0.17554, 0.2383, 0.15596, 0.01282
0.9749, 0.58203, 0.17525, 0.23832, 0.1554, 0.01272
0.9749, 0.58271, 0.17544, 0.23856, 0.15561, 0.01277
0.9749, 0.58363, 0.17565, 0.23879, 0.15594, 0.01293
0.9749, 0.58412, 0.17575, 0.2389, 0.15625, 0.01291
0.9749, 0.58388, 0.17597, 0.23889, 0.15592, 0.01281
0.9749, 0.58342, 0.17572, 0.23877, 0.15573, 0.0129
0.9749, 0.58333, 0.17577, 0.23862, 0.15585, 0.01277
0.9749, 0.58368, 0.17581, 0.23878, 0.15592, 0.01287
0.9749, 0.58349, 0.17571, 0.23862, 0.15603, 0.01284
0.9749, 0.58345, 0.17582, 0.23874, 0.15577, 0.01282
0.9749, 0.58292, 0.17553, 0.23853, 0.15575, 0.01281
0.9749, 0.58271, 0.17556, 0.23856, 0.15554, 0.01276
0.9749, 0.58292, 0.17554, 0.23861, 0.1556, 0.01287
0.9749, 0.58296, 0.17567, 0.23868, 0.15558, 0.01272
0.9749, 0.58299, 0.1757, 0.23874, 0.15557, 0.01267
0.9749, 0.58265, 0.17547, 0.23843, 0.15559, 0.01285
0.9749, 0.58299, 0.17554, 0.23863, 0.15578, 0.01274
0.9749, 0.58317, 0.17557, 0.23883, 0.15559, 0.01288
0.9749, 0.58299, 0.1755, 0.23846, 0.15592, 0.01282
0.9749, 0.58324, 0.17558, 0.23883, 0.15566, 0.01286
0.9749, 0.5832, 0.17558, 0.23873, 0.15575, 0.01283
0.9749, 0.58325, 0.17568, 0.23874, 0.1556, 0.01292
0.9749, 0.58332, 0.17561, 0.23882, 0.15576, 0.0128
0.9749, 0.58332, 0.17582, 0.23882, 0.15564, 0.01274
0.9749, 0.58297, 0.17551, 0.23868, 0.15571, 0.01275
0.9749, 0.58466, 0.17616, 0.23913, 0.15624, 0.01283
0.9749, 0.58289, 0.17564, 0.23856, 0.15563, 0.01276
0.9749, 0.58353, 0.17593, 0.23874, 0.15562, 0.01294
0.9749, 0.58341, 0.17577, 0.23869, 0.15582, 0.01282
0.9749, 0.5816, 0.17542, 0.23795, 0.15528, 0.01264
0.9749, 0.5816, 0.17525, 0.23821, 0.15533, 0.01253
0.9749, 0.58084, 0.17503, 0.23806, 0.15499, 0.01246
0.9749, 0.58069, 0.17509, 0.23783, 0.15492, 0.01256
0.9749, 0.58081, 0.175, 0.23781, 0.15522, 0.01248
0.9749, 0.58122, 0.17506, 0.23808, 0.15525, 0.01254
0.9749, 0.58087, 0.17502, 0.238, 0.15514, 0.01241
0.9749, 0.58057, 0.17504, 0.23793, 0.1549, 0.01239
0.9749, 0.58086, 0.17508, 0.2379, 0.15506, 0.01251
0.9749, 0.58068, 0.17489, 0.23785, 0.1551, 0.01254
0.9749, 0.58044, 0.17485, 0.23777, 0.15519, 0.01234
0.9749, 0.58056, 0.17506, 0.23785, 0.15494, 0.01241
0.9749, 0.58116, 0.17536, 0.2378, 0.15514, 0.01255
0.9749, 0.58172, 0.17536, 0.23818, 0.15529, 0.0126
0.9749, 0.58135, 0.17519, 0.23799, 0.15533, 0.01254
0.9749, 0.58142, 0.17523, 0.23806, 0.15523, 0.0126
0.9749, 0.58106, 0.17516, 0.23784, 0.1553, 0.01247
0.9749, 0.58149, 0.17524, 0.23813, 0.15536, 0.01246
0.9749, 0.58119, 0.17533, 0.238, 0.15506, 0.01252
0.9749, 0.58113, 0.17529, 0.23778, 0.15517, 0.01259
0.9749, 0.58104, 0.17537, 0.23784, 0.15503, 0.01252
0.9749, 0.58179, 0.17543, 0.23821, 0.15529, 0.01257
0.9749, 0.58058, 0.17519, 0.23755, 0.15521, 0.01234
0.9749, 0.58041, 0.1751, 0.2376, 0.155, 0.01242
0.9749, 0.58031, 0.17489, 0.23763, 0.15512, 0.01238
0.9749, 0.58054, 0.175, 0.23788, 0.15497, 0.01239
0.9749, 0.58085, 0.17506, 0.23802, 0.15507, 0.01241
0.9749, 0.58102, 0.17501, 0.23804, 0.15511, 0.01256
0.9749, 0.58085, 0.17504, 0.23789, 0.15502, 0.01259
0.9749, 0.58114, 0.17493, 0.23798, 0.15535, 0.01259
0.9749, 0.58093, 0.17502, 0.23791, 0.15519, 0.01251
0.9749, 0.58066, 0.17497, 0.23769, 0.15522, 0.01246
0.9749, 0.58045, 0.17491, 0.2379, 0.15483, 0.01252
0.9749, 0.58091, 0.17512, 0.23796, 0.15504, 0.01249
0.9749, 0.58075, 0.17497, 0.23797, 0.15494, 0.01257
0.9749, 0.58101, 0.17492, 0.23803, 0.1552, 0.01256
0.9749, 0.58114, 0.17496, 0.23818, 0.15514, 0.01257
0.9749, 0.58085, 0.17492, 0.23814, 0.15509, 0.01241
0.9749, 0.58057, 0.17481, 0.23779, 0.15529, 0.01239
0.9749, 0.58092, 0.175, 0.23794, 0.1552, 0.01248
0.9749, 0.58098, 0.1751, 0.23804, 0.15512, 0.01243
0.9749, 0.58097, 0.17498, 0.23809, 0.15507, 0.01253
0.9749, 0.58079, 0.17486, 0.23774, 0.15543, 0.01245
0.9749, 0.58084, 0.17489, 0.23793, 0.15526, 0.01247
0.9749, 0.58079, 0.17489, 0.23799, 0.15518, 0.01243
0.9749, 0.58082, 0.175, 0.23785, 0.15521, 0.01247
0.9749, 0.58019, 0.17491, 0.23771, 0.15488, 0.01238
0.9749, 0.58282, 0.17577, 0.23835, 0.15564, 0.01275
0.9749, 0.58608, 0.17661, 0.23945, 0.15671, 0.01301
