Accuracy, Total Time, L1+L2+L3 Time, L4 Time, L5 Time, Result Time
0.9739, 0.80421, 0.50196, 0.13378, 0.15567, 0.01247
0.9739, 0.80525, 0.50229, 0.13411, 0.15591, 0.01261
0.9739, 0.80466, 0.50211, 0.13396, 0.1558, 0.01247
0.9739, 0.80424, 0.50151, 0.13398, 0.15578, 0.01262
0.9739, 0.80426, 0.50173, 0.13382, 0.15569, 0.01261
0.9739, 0.80411, 0.50137, 0.13385, 0.15575, 0.01266
0.9739, 0.80453, 0.50167, 0.13394, 0.15588, 0.01269
0.9739, 0.80404, 0.50142, 0.13391, 0.15571, 0.01257
0.9739, 0.80437, 0.50157, 0.13397, 0.1557, 0.01277
0.9739, 0.80385, 0.50167, 0.13367, 0.1554, 0.01258
0.9739, 0.80489, 0.50166, 0.13414, 0.15594, 0.01278
0.9739, 0.80445, 0.50168, 0.13399, 0.15574, 0.01268
0.9739, 0.80443, 0.50171, 0.13393, 0.15579, 0.01258
0.9739, 0.80416, 0.50146, 0.13395, 0.15565, 0.01276
0.9739, 0.80471, 0.50197, 0.13379, 0.15595, 0.01269
0.9739, 0.80353, 0.50141, 0.1337, 0.15551, 0.01253
0.9739, 0.80441, 0.50154, 0.13391, 0.156, 0.01257
0.9739, 0.81487, 0.50509, 0.13702, 0.15851, 0.01385
0.9739, 0.82545, 0.50905, 0.14005, 0.16097, 0.01493
0.9739, 0.82714, 0.50917, 0.14093, 0.16126, 0.01529
0.9739, 0.80729, 0.5027, 0.13457, 0.1566, 0.01302
0.9739, 0.80438, 0.50167, 0.13381, 0.15594, 0.01263
0.9739, 0.80358, 0.50123, 0.13384, 0.15563, 0.01254
0.9739, 0.8042, 0.50153, 0.13417, 0.15566, 0.01251
0.9739, 0.80386, 0.50133, 0.13381, 0.15578, 0.01256
0.9739, 0.80353, 0.50121, 0.13376, 0.1556, 0.0126
0.9739, 0.80407, 0.5014, 0.13407, 0.15571, 0.01255
0.9739, 0.81244, 0.50455, 0.13694, 0.15771, 0.01287
0.9739, 0.80698, 0.50226, 0.13474, 0.15671, 0.01292
0.9739, 0.80632, 0.50224, 0.13449, 0.15644, 0.01278
0.9739, 0.80461, 0.50215, 0.13379, 0.15573, 0.01261
0.9739, 0.80178, 0.50103, 0.13309, 0.15486, 0.01248
0.9739, 0.80128, 0.50073, 0.13294, 0.15487, 0.01241
0.9739, 0.80169, 0.50085, 0.13316, 0.15486, 0.01244
0.9739, 0.80175, 0.50095, 0.13303, 0.1549, 0.01254
0.9739, 0.80195, 0.50095, 0.13321, 0.15494, 0.01252
0.9739, 0.80168, 0.50089, 0.13316, 0.15484, 0.01246
0.9739, 0.80149, 0.50082, 0.13308, 0.15484, 0.0124
0.9739, 0.80171, 0.50083, 0.13311, 0.15499, 0.01243
0.9739, 0.80161, 0.50108, 0.13313, 0.15473, 0.01235
0.9739, 0.80146, 0.50093, 0.13307, 0.15479, 0.01235
0.9739, 0.80099, 0.50068, 0.13303, 0.15466, 0.01228
0.9739, 0.80141, 0.50085, 0.1331, 0.15478, 0.01234
0.9739, 0.80191, 0.50091, 0.13312, 0.15511, 0.01243
0.9739, 0.80201, 0.50107, 0.13319, 0.15496, 0.01245
0.9739, 0.80208, 0.50108, 0.13325, 0.15492, 0.0125
0.9739, 0.8016, 0.50087, 0.13299, 0.15491, 0.01249
0.9739, 0.80186, 0.50094, 0.13315, 0.15492, 0.01253
0.9739, 0.80163, 0.50084, 0.13304, 0.15491, 0.0125
0.9739, 0.8014, 0.50078, 0.13302, 0.15464, 0.01254
0.9739, 0.80207, 0.501, 0.13319, 0.155, 0.01252
0.9739, 0.802, 0.50097, 0.13328, 0.15491, 0.0125
0.9739, 0.80128, 0.50073, 0.13303, 0.15472, 0.01244
0.9739, 0.80155, 0.50096, 0.13304, 0.15479, 0.01244
0.9739, 0.80162, 0.50091, 0.13302, 0.15482, 0.01248
0.9739, 0.8019, 0.501, 0.13318, 0.15493, 0.01246
0.9739, 0.80147, 0.50083, 0.13307, 0.15476, 0.01247
0.9739, 0.80213, 0.50097, 0.13341, 0.15483, 0.01248
0.9739, 0.80194, 0.50096, 0.13322, 0.15501, 0.0124
0.9739, 0.80104, 0.5006, 0.13297, 0.15474, 0.01239
0.9739, 0.8015, 0.50071, 0.13315, 0.15482, 0.0125
0.9739, 0.80109, 0.50063, 0.133, 0.15471, 0.01241
0.9739, 0.80144, 0.50072, 0.13314, 0.15484, 0.0124
0.9739, 0.80129, 0.50071, 0.1331, 0.15475, 0.01239
0.9739, 0.80104, 0.5006, 0.13299, 0.15469, 0.0124
0.9739, 0.80116, 0.50061, 0.13302, 0.15464, 0.01245
0.9739, 0.80115, 0.50059, 0.13304, 0.15473, 0.01246
0.9739, 0.80128, 0.50075, 0.13304, 0.15472, 0.01242
0.9739, 0.80124, 0.50062, 0.13309, 0.15477, 0.01243
0.9739, 0.80088, 0.50055, 0.13294, 0.1545, 0.01246
0.9739, 0.80157, 0.50072, 0.13326, 0.15482, 0.01243
0.9739, 0.80101, 0.50065, 0.13302, 0.15467, 0.01235
0.9739, 0.80136, 0.50082, 0.13303, 0.15471, 0.01246
0.9739, 0.80109, 0.50061, 0.133, 0.15472, 0.01242
0.9739, 0.80118, 0.50074, 0.13288, 0.15483, 0.01238
0.9739, 0.80369, 0.50157, 0.13368, 0.15549, 0.0126
0.9739, 0.80669, 0.50255, 0.13461, 0.15628, 0.01288
0.9739, 0.80325, 0.5015, 0.1334, 0.15538, 0.01263
0.9739, 0.80157, 0.50085, 0.13313, 0.15487, 0.01238
0.9739, 0.80129, 0.50082, 0.13297, 0.15472, 0.0124
0.9739, 0.80202, 0.50097, 0.13333, 0.15492, 0.01247
0.9739, 0.80166, 0.50099, 0.13308, 0.15487, 0.01241
0.9739, 0.8022, 0.501, 0.13323, 0.15513, 0.01249
0.9739, 0.80189, 0.50095, 0.13321, 0.15485, 0.01247
0.9739, 0.80156, 0.50099, 0.133, 0.15477, 0.01247
0.9739, 0.80224, 0.50121, 0.13326, 0.15501, 0.01243
0.9739, 0.80166, 0.50089, 0.13305, 0.15484, 0.01254
0.9739, 0.80148, 0.50086, 0.13299, 0.15475, 0.01247
0.9739, 0.80205, 0.50093, 0.13323, 0.15492, 0.01257
0.9739, 0.8019, 0.50101, 0.13326, 0.15479, 0.01251
0.9739, 0.80175, 0.50102, 0.13304, 0.15491, 0.01246
0.9739, 0.80144, 0.50074, 0.13306, 0.15483, 0.01247
0.9739, 0.80188, 0.50113, 0.13305, 0.15484, 0.01253
0.9739, 0.80151, 0.50094, 0.13302, 0.15471, 0.0125
0.9739, 0.80181, 0.50122, 0.13298, 0.15479, 0.0125
0.9739, 0.80235, 0.50117, 0.13333, 0.15503, 0.01249
0.9739, 0.8017, 0.50099, 0.13307, 0.1548, 0.01252
0.9739, 0.80232, 0.5013, 0.13326, 0.15489, 0.01255
0.9739, 0.80172, 0.50099, 0.1331, 0.15476, 0.0125
0.9739, 0.80172, 0.50104, 0.13307, 0.15478, 0.01248
