Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.59591, 0.19735, 0.2311, 0.15465, 0.01252
0.9749, 0.59575, 0.19739, 0.23101, 0.15458, 0.01248
0.9749, 0.5956, 0.19729, 0.2309, 0.15457, 0.01255
0.9749, 0.59557, 0.1972, 0.23093, 0.15461, 0.01254
0.9749, 0.5958, 0.19741, 0.23099, 0.15463, 0.01249
0.9749, 0.59557, 0.1972, 0.23111, 0.15452, 0.01245
0.9749, 0.59559, 0.19733, 0.23094, 0.15453, 0.01249
0.9749, 0.59635, 0.19761, 0.23113, 0.15475, 0.01256
0.9749, 0.59504, 0.19706, 0.23095, 0.15435, 0.01239
0.9749, 0.59658, 0.19765, 0.23134, 0.15484, 0.01244
0.9749, 0.59544, 0.1973, 0.23085, 0.15454, 0.01244
0.9749, 0.59542, 0.19727, 0.23094, 0.15447, 0.01245
0.9749, 0.59524, 0.19718, 0.23089, 0.15445, 0.01242
0.9749, 0.59512, 0.19718, 0.23079, 0.15441, 0.01244
0.9749, 0.5957, 0.19731, 0.23099, 0.15463, 0.01247
0.9749, 0.59554, 0.19734, 0.23088, 0.15461, 0.0124
0.9749, 0.59571, 0.19742, 0.231, 0.15457, 0.01242
0.9749, 0.59576, 0.19729, 0.23099, 0.15478, 0.01241
0.9749, 0.59427, 0.19691, 0.23061, 0.15426, 0.01221
0.9749, 0.5954, 0.19728, 0.23089, 0.15448, 0.01246
0.9749, 0.5955, 0.19722, 0.23092, 0.15463, 0.01244
0.9749, 0.59555, 0.19716, 0.23093, 0.15469, 0.01248
0.9749, 0.59566, 0.19734, 0.23103, 0.15458, 0.01243
0.9749, 0.59566, 0.19723, 0.2311, 0.15462, 0.01242
0.9749, 0.5957, 0.19733, 0.23114, 0.15454, 0.0124
0.9749, 0.59548, 0.19726, 0.23096, 0.15454, 0.01244
0.9749, 0.59647, 0.19749, 0.23119, 0.15499, 0.0125
0.9749, 0.59619, 0.19755, 0.23114, 0.15476, 0.01245
0.9749, 0.59546, 0.19728, 0.23085, 0.15465, 0.01239
0.9749, 0.59627, 0.1975, 0.23123, 0.15475, 0.0125
0.9749, 0.59507, 0.19687, 0.23089, 0.15456, 0.01245
0.9749, 0.59521, 0.19701, 0.231, 0.15449, 0.01242
0.9749, 0.59584, 0.19711, 0.23114, 0.15483, 0.01247
0.9749, 0.59581, 0.1974, 0.23103, 0.15457, 0.01253
0.9749, 0.59565, 0.19714, 0.23109, 0.15464, 0.0125
0.9749, 0.59615, 0.19756, 0.2311, 0.15471, 0.0125
0.9749, 0.59632, 0.19753, 0.23112, 0.15491, 0.01248
0.9749, 0.59538, 0.19719, 0.23109, 0.15449, 0.01233
0.9749, 0.59552, 0.19736, 0.23091, 0.15449, 0.01247
0.9749, 0.59603, 0.19747, 0.2311, 0.15468, 0.0125
0.9749, 0.59557, 0.1973, 0.23092, 0.15456, 0.01251
0.9749, 0.5958, 0.19742, 0.23103, 0.15462, 0.01245
0.9749, 0.59522, 0.19725, 0.23081, 0.15444, 0.01241
0.9749, 0.5955, 0.19734, 0.23089, 0.15452, 0.01247
0.9749, 0.59587, 0.19734, 0.23112, 0.15473, 0.01239
0.9749, 0.5957, 0.19734, 0.23094, 0.15474, 0.0124
0.9749, 0.59561, 0.19733, 0.23103, 0.15456, 0.0124
0.9749, 0.59522, 0.19723, 0.23081, 0.15451, 0.01238
0.9749, 0.59541, 0.19734, 0.23098, 0.15442, 0.01239
0.9749, 0.5954, 0.19735, 0.23089, 0.15448, 0.01239
0.9749, 0.59553, 0.19732, 0.23094, 0.15456, 0.01243
0.9749, 0.59589, 0.19743, 0.23107, 0.15472, 0.01239
0.9749, 0.59561, 0.19748, 0.23097, 0.15448, 0.0124
0.9749, 0.59531, 0.19719, 0.23082, 0.15457, 0.01245
0.9749, 0.59561, 0.19732, 0.23095, 0.15464, 0.01241
0.9749, 0.59586, 0.19738, 0.23092, 0.15468, 0.01259
0.9749, 0.59553, 0.19731, 0.23085, 0.15451, 0.01257
0.9749, 0.59563, 0.19737, 0.23086, 0.15462, 0.01249
0.9749, 0.59577, 0.19737, 0.23101, 0.15457, 0.01255
0.9749, 0.59505, 0.19701, 0.23092, 0.1545, 0.01233
0.9749, 0.59492, 0.19692, 0.23086, 0.15434, 0.01252
0.9749, 0.59555, 0.19722, 0.23098, 0.15468, 0.01239
0.9749, 0.59512, 0.19702, 0.23092, 0.15443, 0.01247
0.9749, 0.59491, 0.19689, 0.23073, 0.15445, 0.01255
0.9749, 0.59524, 0.19692, 0.23101, 0.15462, 0.01241
0.9749, 0.59505, 0.19697, 0.23079, 0.15456, 0.01246
0.9749, 0.59487, 0.19694, 0.23076, 0.15443, 0.01245
0.9749, 0.59522, 0.1971, 0.23095, 0.15447, 0.01241
0.9749, 0.59508, 0.19692, 0.2308, 0.15453, 0.01251
0.9749, 0.59493, 0.19704, 0.23083, 0.15442, 0.01234
0.9749, 0.59433, 0.19675, 0.23065, 0.15421, 0.01242
0.9749, 0.59608, 0.19764, 0.23105, 0.15462, 0.0125
0.9749, 0.59501, 0.19716, 0.23066, 0.15446, 0.01243
0.9749, 0.59565, 0.19748, 0.23095, 0.15452, 0.01241
0.9749, 0.59572, 0.19745, 0.23104, 0.15451, 0.01244
0.9749, 0.59551, 0.19729, 0.23095, 0.15455, 0.01242
0.9749, 0.59522, 0.1972, 0.23086, 0.1545, 0.01237
0.9749, 0.59503, 0.19712, 0.23074, 0.15434, 0.01253
0.9749, 0.59606, 0.19747, 0.23101, 0.15473, 0.01256
0.9749, 0.59567, 0.19732, 0.23099, 0.15447, 0.0126
0.9749, 0.59522, 0.19721, 0.23081, 0.15435, 0.01255
0.9749, 0.5961, 0.1973, 0.23121, 0.1546, 0.01269
0.9749, 0.59558, 0.19729, 0.23099, 0.15453, 0.01249
0.9749, 0.59578, 0.19746, 0.23099, 0.15459, 0.01245
0.9749, 0.59481, 0.1971, 0.23079, 0.15435, 0.01229
0.9749, 0.59446, 0.19698, 0.23066, 0.15432, 0.01221
0.9749, 0.59501, 0.19725, 0.23071, 0.15433, 0.01242
0.9749, 0.59544, 0.19721, 0.23083, 0.15453, 0.01257
0.9749, 0.59556, 0.19731, 0.23091, 0.15454, 0.01252
0.9749, 0.59586, 0.19738, 0.23104, 0.15464, 0.01251
0.9749, 0.59513, 0.19719, 0.23075, 0.15446, 0.01244
0.9749, 0.59565, 0.19733, 0.23092, 0.15459, 0.01251
0.9749, 0.59523, 0.1972, 0.23082, 0.15444, 0.01248
0.9749, 0.59574, 0.19744, 0.231, 0.15451, 0.0125
0.9749, 0.59586, 0.19735, 0.23106, 0.15462, 0.01254
0.9749, 0.59559, 0.19726, 0.23096, 0.15458, 0.0125
0.9749, 0.5951, 0.19715, 0.23083, 0.15448, 0.01235
0.9749, 0.59418, 0.19681, 0.23055, 0.1543, 0.01223
0.9749, 0.59465, 0.19707, 0.23061, 0.15436, 0.01232
0.9749, 0.5946, 0.19704, 0.23072, 0.15436, 0.01219
