Accuracy, Total Time, L1 Time, L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.70048, 0.0862, 0.12891, 0.18576, 0.13187, 0.15475, 0.01247
0.9749, 0.70213, 0.08654, 0.12921, 0.18627, 0.13195, 0.15505, 0.01259
0.9749, 0.70528, 0.08694, 0.12961, 0.1868, 0.13264, 0.15545, 0.01312
0.9749, 0.70457, 0.08661, 0.12978, 0.18644, 0.13253, 0.15509, 0.01331
0.9749, 0.70404, 0.08691, 0.12962, 0.18623, 0.13228, 0.15485, 0.01356
0.9749, 0.70405, 0.08692, 0.12967, 0.18632, 0.1322, 0.15491, 0.01345
0.9749, 0.70401, 0.08691, 0.12976, 0.18621, 0.13218, 0.15493, 0.01344
0.9749, 0.70276, 0.08674, 0.12946, 0.186, 0.13209, 0.15476, 0.01314
0.9749, 0.70233, 0.08649, 0.12932, 0.18598, 0.13211, 0.1548, 0.01306
0.9749, 0.69949, 0.08589, 0.12898, 0.18566, 0.13178, 0.15442, 0.01224
0.9749, 0.70124, 0.08608, 0.12916, 0.18606, 0.13208, 0.15476, 0.01257
0.9749, 0.70039, 0.08597, 0.129, 0.18586, 0.13186, 0.15463, 0.01254
0.9749, 0.70048, 0.08586, 0.12901, 0.18591, 0.13181, 0.15489, 0.01247
0.9749, 0.7014, 0.08639, 0.12892, 0.18601, 0.13197, 0.15499, 0.01259
0.9749, 0.70217, 0.08664, 0.12917, 0.18599, 0.13227, 0.15479, 0.01277
0.9749, 0.70198, 0.0866, 0.12918, 0.18592, 0.13216, 0.15464, 0.01296
0.9749, 0.70266, 0.08651, 0.12932, 0.18628, 0.13231, 0.15498, 0.01273
0.9749, 0.69817, 0.08562, 0.12851, 0.18559, 0.13136, 0.15404, 0.0125
0.9749, 0.69952, 0.08584, 0.12894, 0.1856, 0.13176, 0.15428, 0.01248
0.9749, 0.69688, 0.08557, 0.12833, 0.18511, 0.13135, 0.15373, 0.01226
0.9749, 0.6967, 0.08561, 0.12833, 0.18509, 0.13118, 0.1537, 0.01225
0.9749, 0.69907, 0.08592, 0.12877, 0.18554, 0.1317, 0.15426, 0.01232
0.9749, 0.69922, 0.08591, 0.12891, 0.18545, 0.13169, 0.15435, 0.01236
0.9749, 0.69623, 0.08549, 0.12826, 0.18496, 0.13114, 0.15363, 0.0122
0.9749, 0.70176, 0.08629, 0.12916, 0.18622, 0.13212, 0.15468, 0.01276
0.9749, 0.7027, 0.08627, 0.12937, 0.18636, 0.13235, 0.1549, 0.01291
0.9749, 0.70506, 0.08685, 0.13005, 0.18633, 0.13248, 0.15529, 0.01349
0.9749, 0.74886, 0.09491, 0.13807, 0.19339, 0.13909, 0.16242, 0.01905
0.9749, 0.70507, 0.08687, 0.12957, 0.18717, 0.13217, 0.15549, 0.01327
0.9749, 0.79614, 0.10258, 0.14492, 0.2015, 0.14755, 0.17067, 0.02597
0.9749, 0.75407, 0.09576, 0.13789, 0.1942, 0.14044, 0.16377, 0.0204
0.9749, 0.71293, 0.08827, 0.13114, 0.18779, 0.13412, 0.15658, 0.01423
0.9749, 0.69648, 0.08546, 0.12819, 0.18527, 0.13114, 0.15384, 0.0121
