Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.58276, 0.17578, 0.23787, 0.15596, 0.01285
0.9749, 0.58711, 0.17714, 0.23901, 0.15815, 0.01251
0.9749, 0.59681, 0.17918, 0.24288, 0.15985, 0.01457
0.9749, 0.59827, 0.17965, 0.24336, 0.1605, 0.01443
0.9749, 0.59867, 0.17955, 0.24397, 0.16052, 0.01429
0.9749, 0.5889, 0.17763, 0.24013, 0.1575, 0.01333
0.9749, 0.57854, 0.17457, 0.23673, 0.15451, 0.01242
0.9749, 0.57894, 0.17471, 0.23687, 0.15471, 0.01236
0.9749, 0.57864, 0.17465, 0.2367, 0.15458, 0.01242
0.9749, 0.57806, 0.17455, 0.23653, 0.15431, 0.01237
0.9749, 0.57894, 0.17473, 0.2368, 0.1547, 0.01242
0.9749, 0.57841, 0.17456, 0.23673, 0.15451, 0.01233
0.9749, 0.57843, 0.17456, 0.23675, 0.15446, 0.01236
0.9749, 0.57815, 0.17438, 0.2366, 0.1545, 0.01238
0.9749, 0.57858, 0.17452, 0.23672, 0.15463, 0.01242
0.9749, 0.57807, 0.17436, 0.23665, 0.15438, 0.01239
0.9749, 0.57845, 0.17454, 0.23665, 0.15452, 0.01245
0.9749, 0.57842, 0.17452, 0.23652, 0.15468, 0.01239
0.9749, 0.57842, 0.17456, 0.23661, 0.15452, 0.01243
0.9749, 0.57869, 0.1747, 0.2367, 0.15451, 0.01249
0.9749, 0.578, 0.17445, 0.23653, 0.15436, 0.01237
0.9749, 0.57825, 0.17459, 0.23649, 0.15441, 0.01247
0.9749, 0.57818, 0.17444, 0.23658, 0.15445, 0.01241
0.9749, 0.57832, 0.17446, 0.23658, 0.15446, 0.01253
0.9749, 0.58204, 0.17562, 0.23781, 0.15554, 0.01277
0.9749, 0.57759, 0.17431, 0.23653, 0.15429, 0.01217
0.9749, 0.57771, 0.17434, 0.23653, 0.15431, 0.01223
0.9749, 0.57813, 0.17448, 0.23664, 0.1545, 0.01223
0.9749, 0.57978, 0.17509, 0.23714, 0.15476, 0.01249
0.9749, 0.57811, 0.17432, 0.23673, 0.15438, 0.01239
0.9749, 0.57824, 0.17425, 0.23686, 0.15441, 0.01243
0.9749, 0.57851, 0.1743, 0.23683, 0.15454, 0.01255
0.9749, 0.5786, 0.17434, 0.23698, 0.15451, 0.01247
0.9749, 0.57854, 0.17436, 0.23693, 0.15455, 0.01241
0.9749, 0.57849, 0.17431, 0.23677, 0.15455, 0.01256
0.9749, 0.57869, 0.17444, 0.23686, 0.15464, 0.01246
0.9749, 0.57837, 0.17437, 0.23675, 0.15441, 0.01253
0.9749, 0.57907, 0.17454, 0.23691, 0.1548, 0.01252
0.9749, 0.57779, 0.17437, 0.23653, 0.15441, 0.01217
0.9749, 0.57782, 0.17431, 0.23654, 0.1544, 0.01229
0.9749, 0.5781, 0.17435, 0.23679, 0.15436, 0.01232
0.9749, 0.58233, 0.17553, 0.23776, 0.15587, 0.01287
0.9749, 0.57968, 0.17456, 0.23712, 0.15506, 0.01264
