Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.58989, 0.17411, 0.24842, 0.15464, 0.01243
0.9749, 0.58942, 0.174, 0.24831, 0.15457, 0.01226
0.9749, 0.5888, 0.17392, 0.248, 0.15439, 0.01219
0.9749, 0.58949, 0.174, 0.24829, 0.15466, 0.01225
0.9749, 0.58964, 0.17414, 0.24831, 0.15459, 0.01232
0.9749, 0.5893, 0.17386, 0.24833, 0.15445, 0.01238
0.9749, 0.59025, 0.17418, 0.24852, 0.15486, 0.01241
0.9749, 0.58923, 0.17388, 0.24817, 0.15451, 0.01237
0.9749, 0.59024, 0.17428, 0.24846, 0.15483, 0.01238
0.9749, 0.58958, 0.17416, 0.24817, 0.1546, 0.01235
0.9749, 0.58989, 0.17423, 0.24834, 0.15466, 0.01238
0.9749, 0.58968, 0.17397, 0.24844, 0.15456, 0.01242
0.9749, 0.59009, 0.17414, 0.24856, 0.15466, 0.01245
0.9749, 0.59023, 0.17427, 0.24852, 0.15472, 0.01242
0.9749, 0.5898, 0.17427, 0.24826, 0.15459, 0.01239
0.9749, 0.58968, 0.17427, 0.2482, 0.15454, 0.01238
0.9749, 0.58959, 0.17434, 0.24818, 0.15452, 0.01226
0.9749, 0.58873, 0.17393, 0.24797, 0.15429, 0.01225
0.9749, 0.59017, 0.17437, 0.24837, 0.15485, 0.01229
0.9749, 0.58934, 0.17408, 0.24816, 0.15449, 0.01232
0.9749, 0.59021, 0.17426, 0.24853, 0.15475, 0.01239
0.9749, 0.58927, 0.17411, 0.24812, 0.15455, 0.0122
0.9749, 0.5896, 0.17422, 0.24819, 0.15457, 0.01232
0.9749, 0.58991, 0.17423, 0.24828, 0.15473, 0.01238
0.9749, 0.58981, 0.17414, 0.24826, 0.15472, 0.0124
0.9749, 0.58971, 0.17423, 0.24822, 0.15464, 0.01233
0.9749, 0.59082, 0.17458, 0.24862, 0.15491, 0.01242
0.9749, 0.59032, 0.17435, 0.24837, 0.15489, 0.01242
0.9749, 0.59055, 0.17436, 0.2485, 0.15494, 0.01246
0.9749, 0.58972, 0.17418, 0.24826, 0.1546, 0.01239
0.9749, 0.58943, 0.17409, 0.24813, 0.15465, 0.01228
0.9749, 0.58978, 0.17422, 0.24829, 0.1546, 0.01238
0.9749, 0.58988, 0.17432, 0.24823, 0.15467, 0.01237
0.9749, 0.58979, 0.17419, 0.2483, 0.1546, 0.0124
0.9749, 0.58976, 0.17417, 0.24821, 0.15458, 0.0125
0.9749, 0.58953, 0.17411, 0.24818, 0.15457, 0.01238
0.9749, 0.58943, 0.17409, 0.2482, 0.15452, 0.01232
0.9749, 0.58902, 0.17398, 0.24808, 0.15448, 0.01219
0.9749, 0.59017, 0.17428, 0.24839, 0.15483, 0.01239
0.9749, 0.58987, 0.17426, 0.24832, 0.15459, 0.01241
0.9749, 0.59009, 0.17445, 0.24832, 0.15465, 0.01237
0.9749, 0.59006, 0.1743, 0.24837, 0.1547, 0.0124
0.9749, 0.58977, 0.1742, 0.24824, 0.15464, 0.01239
0.9749, 0.58984, 0.17418, 0.24827, 0.1547, 0.01239
0.9749, 0.58981, 0.17421, 0.24829, 0.15465, 0.01237
0.9749, 0.58999, 0.17425, 0.24829, 0.15471, 0.01244
0.9749, 0.5898, 0.17413, 0.24825, 0.15469, 0.01243
0.9749, 0.59019, 0.17428, 0.24836, 0.15485, 0.01242
0.9749, 0.58967, 0.17415, 0.24817, 0.15462, 0.01243
0.9749, 0.59005, 0.17425, 0.24836, 0.1547, 0.01246
0.9749, 0.58955, 0.17413, 0.24822, 0.15457, 0.01234
0.9749, 0.58986, 0.17411, 0.24827, 0.1547, 0.01248
0.9749, 0.59055, 0.17455, 0.24847, 0.15472, 0.0125
0.9749, 0.59082, 0.17457, 0.24855, 0.15493, 0.01248
0.9749, 0.59023, 0.17417, 0.24856, 0.15479, 0.01242
0.9749, 0.58923, 0.17399, 0.2482, 0.15453, 0.01222
0.9749, 0.58859, 0.17383, 0.24802, 0.15431, 0.01213
0.9749, 0.58964, 0.17403, 0.24834, 0.15458, 0.01239
0.9749, 0.58915, 0.17382, 0.24816, 0.15457, 0.0123
0.9749, 0.58999, 0.17402, 0.24845, 0.15469, 0.01256
0.9749, 0.58995, 0.1741, 0.24844, 0.1547, 0.01241
0.9749, 0.58988, 0.17405, 0.24847, 0.15479, 0.01229
