Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.56684, 0.1601, 0.23773, 0.15595, 0.01277
0.9749, 0.56507, 0.1595, 0.23731, 0.15526, 0.0127
0.9749, 0.56276, 0.15891, 0.23657, 0.15455, 0.01243
0.9749, 0.56301, 0.15885, 0.23676, 0.15459, 0.01253
0.9749, 0.56291, 0.15895, 0.23662, 0.15448, 0.01259
0.9749, 0.56299, 0.15882, 0.23663, 0.15483, 0.01241
0.9749, 0.56315, 0.15889, 0.23677, 0.15467, 0.01253
0.9749, 0.56291, 0.15885, 0.23666, 0.1546, 0.01253
0.9749, 0.56302, 0.15887, 0.23669, 0.15454, 0.01263
0.9749, 0.5631, 0.15894, 0.23681, 0.15457, 0.01251
0.9749, 0.56262, 0.15872, 0.23668, 0.15451, 0.01243
0.9749, 0.56294, 0.15876, 0.2367, 0.15468, 0.01252
0.9749, 0.56333, 0.15894, 0.23675, 0.1548, 0.01256
0.9749, 0.56337, 0.15895, 0.23679, 0.15479, 0.01256
0.9749, 0.56299, 0.15883, 0.23674, 0.15469, 0.01246
0.9749, 0.56265, 0.15886, 0.23664, 0.15446, 0.01242
0.9749, 0.56287, 0.15869, 0.23673, 0.15478, 0.01239
0.9749, 0.56272, 0.15881, 0.23657, 0.15458, 0.01248
0.9749, 0.56687, 0.16008, 0.23798, 0.15576, 0.01274
0.9749, 0.56247, 0.15876, 0.23652, 0.1545, 0.01239
0.9749, 0.56286, 0.1588, 0.23661, 0.15468, 0.01249
0.9749, 0.56184, 0.15848, 0.23633, 0.15445, 0.01229
0.9749, 0.5626, 0.15877, 0.23651, 0.1545, 0.01252
0.9749, 0.56275, 0.15878, 0.23662, 0.15464, 0.01242
0.9749, 0.563, 0.15884, 0.23674, 0.15465, 0.01249
0.9749, 0.56263, 0.15862, 0.23666, 0.15461, 0.01247
0.9749, 0.56296, 0.15891, 0.23667, 0.15462, 0.01249
0.9749, 0.56285, 0.15882, 0.23668, 0.15462, 0.01246
0.9749, 0.56243, 0.15867, 0.23656, 0.15444, 0.01247
0.9749, 0.56302, 0.15882, 0.23669, 0.15472, 0.0125
0.9749, 0.56301, 0.15892, 0.23667, 0.15465, 0.01249
