Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.56596, 0.15683, 0.24243, 0.15423, 0.01216
0.9749, 0.56607, 0.15683, 0.24254, 0.15425, 0.01215
0.9749, 0.56645, 0.15701, 0.24266, 0.15433, 0.01215
0.9749, 0.56692, 0.157, 0.24274, 0.15456, 0.01233
0.9749, 0.56647, 0.15685, 0.24265, 0.15435, 0.01232
0.9749, 0.56687, 0.15688, 0.24272, 0.1546, 0.01237
0.9749, 0.56652, 0.1569, 0.2427, 0.15439, 0.01223
0.9749, 0.56692, 0.15713, 0.24262, 0.15445, 0.01242
0.9749, 0.56676, 0.15708, 0.2427, 0.15439, 0.01228
0.9749, 0.56604, 0.15694, 0.24251, 0.15419, 0.0121
0.9749, 0.56659, 0.15702, 0.24258, 0.15442, 0.01227
0.9749, 0.56612, 0.15684, 0.24251, 0.15425, 0.01223
0.9749, 0.56677, 0.15703, 0.2426, 0.15468, 0.01217
0.9749, 0.56665, 0.15681, 0.24266, 0.15449, 0.01239
0.9749, 0.56673, 0.15698, 0.24263, 0.15449, 0.01234
0.9749, 0.56675, 0.15688, 0.24259, 0.15458, 0.0124
0.9749, 0.56625, 0.15675, 0.24254, 0.15431, 0.01235
0.9749, 0.56685, 0.15687, 0.24273, 0.15461, 0.01235
0.9749, 0.56906, 0.15757, 0.24323, 0.15546, 0.0125
0.9749, 0.56725, 0.15697, 0.24286, 0.15471, 0.0124
0.9749, 0.5666, 0.15678, 0.24256, 0.15459, 0.01237
0.9749, 0.56675, 0.15692, 0.24265, 0.15451, 0.01237
0.9749, 0.56637, 0.15679, 0.24258, 0.15436, 0.01233
0.9749, 0.56624, 0.1568, 0.24261, 0.15432, 0.01221
0.9749, 0.56667, 0.15698, 0.24276, 0.15432, 0.01231
0.9749, 0.56632, 0.15679, 0.24257, 0.15444, 0.01222
0.9749, 0.56658, 0.15685, 0.2426, 0.15449, 0.01234
0.9749, 0.56614, 0.15678, 0.2425, 0.15433, 0.01225
0.9749, 0.56663, 0.15688, 0.24268, 0.15445, 0.01232
0.9749, 0.56628, 0.15684, 0.24265, 0.15431, 0.01219
0.9749, 0.56696, 0.15698, 0.24286, 0.15453, 0.01228
0.9749, 0.56634, 0.15686, 0.24254, 0.15445, 0.01221
0.9749, 0.56633, 0.15683, 0.24259, 0.15438, 0.01222
0.9749, 0.56621, 0.15682, 0.24255, 0.15446, 0.01209
0.9749, 0.56593, 0.15674, 0.24245, 0.15426, 0.01219
0.9749, 0.56647, 0.15699, 0.24257, 0.1543, 0.01231
0.9749, 0.57017, 0.1581, 0.24374, 0.15557, 0.01244
0.9749, 0.56624, 0.15688, 0.24259, 0.15429, 0.01218
0.9749, 0.56644, 0.1569, 0.24261, 0.15441, 0.01222
0.9749, 0.56683, 0.15696, 0.24269, 0.15457, 0.01232
0.9749, 0.5665, 0.15693, 0.24273, 0.15435, 0.01219
0.9749, 0.56608, 0.15692, 0.24257, 0.15414, 0.01214
0.9749, 0.56645, 0.15688, 0.24263, 0.1544, 0.01224
0.9749, 0.56603, 0.15669, 0.24255, 0.15422, 0.01227
0.9749, 0.56648, 0.15693, 0.24274, 0.15431, 0.01221
0.9749, 0.56632, 0.15699, 0.24265, 0.15433, 0.01206
0.9749, 0.5658, 0.15684, 0.2423, 0.15429, 0.01207
0.9749, 0.5662, 0.1569, 0.24255, 0.15434, 0.0121
0.9749, 0.56656, 0.15677, 0.24269, 0.15451, 0.0123
0.9749, 0.56661, 0.15686, 0.2427, 0.15447, 0.01228
0.9749, 0.56606, 0.15671, 0.24252, 0.15433, 0.0122
0.9749, 0.5673, 0.15715, 0.24278, 0.15467, 0.01239
0.9749, 0.56661, 0.15688, 0.24271, 0.15446, 0.01226
0.9749, 0.56662, 0.15699, 0.24273, 0.15436, 0.01224
0.9749, 0.56648, 0.15705, 0.24258, 0.15434, 0.01217
0.9749, 0.56645, 0.15686, 0.24258, 0.15441, 0.0123
0.9749, 0.56664, 0.15692, 0.24269, 0.1545, 0.01223
0.9749, 0.566, 0.15676, 0.24249, 0.15426, 0.01218
0.9749, 0.56662, 0.15701, 0.24267, 0.1544, 0.01226
0.9749, 0.5663, 0.15679, 0.24258, 0.15435, 0.01227
0.9749, 0.56695, 0.15718, 0.24279, 0.15443, 0.01225
0.9749, 0.56628, 0.15689, 0.24242, 0.15449, 0.01219
0.9749, 0.56592, 0.15684, 0.24243, 0.15425, 0.0121
0.9749, 0.56675, 0.1571, 0.24266, 0.15441, 0.01228
0.9749, 0.56649, 0.15705, 0.24251, 0.1544, 0.01222
0.9749, 0.56699, 0.1572, 0.24271, 0.15452, 0.01228
0.9749, 0.56674, 0.1571, 0.24258, 0.15449, 0.01227
0.9749, 0.5669, 0.15719, 0.24273, 0.15446, 0.01221
0.9749, 0.56664, 0.15706, 0.24258, 0.15444, 0.01227
0.9749, 0.56661, 0.15705, 0.24253, 0.15449, 0.01224
0.9749, 0.5672, 0.15718, 0.24268, 0.15465, 0.01238
0.9749, 0.56729, 0.15715, 0.24282, 0.15456, 0.01244
0.9749, 0.56697, 0.15721, 0.2426, 0.15449, 0.01236
0.9749, 0.56692, 0.15711, 0.24266, 0.15455, 0.01231
0.9749, 0.56735, 0.1573, 0.24273, 0.15464, 0.01239
0.9749, 0.56691, 0.15711, 0.24268, 0.15445, 0.01239
0.9749, 0.56697, 0.15714, 0.24264, 0.15458, 0.01232
0.9749, 0.56687, 0.15705, 0.24266, 0.15451, 0.01235
0.9749, 0.56685, 0.15711, 0.24263, 0.15447, 0.01234
0.9749, 0.56723, 0.15718, 0.2427, 0.15461, 0.01244
0.9749, 0.56706, 0.15718, 0.24263, 0.15451, 0.01246
0.9749, 0.56683, 0.15703, 0.24263, 0.15446, 0.01242
0.9749, 0.56624, 0.15686, 0.24247, 0.15441, 0.01222
0.9749, 0.56599, 0.15681, 0.24239, 0.1544, 0.01209
0.9749, 0.56615, 0.15679, 0.24258, 0.15432, 0.01217
0.9749, 0.56637, 0.15693, 0.24261, 0.15436, 0.01217
0.9749, 0.56567, 0.15671, 0.24237, 0.15426, 0.01204
0.9749, 0.56647, 0.15674, 0.24269, 0.1544, 0.01233
0.9749, 0.56643, 0.15693, 0.24262, 0.15437, 0.01222
0.9749, 0.56613, 0.15678, 0.24254, 0.15428, 0.01223
0.9749, 0.56599, 0.15682, 0.24252, 0.15424, 0.01211
0.9749, 0.56662, 0.1569, 0.24268, 0.15447, 0.01228
0.9749, 0.56663, 0.1569, 0.24283, 0.15447, 0.01214
0.9749, 0.56648, 0.15696, 0.24278, 0.1543, 0.01215
0.9749, 0.56652, 0.15679, 0.24274, 0.1544, 0.0123
0.9749, 0.56699, 0.15697, 0.2428, 0.15453, 0.01239
0.9749, 0.56584, 0.15692, 0.24238, 0.15414, 0.0121
0.9749, 0.56578, 0.15679, 0.24232, 0.15427, 0.01209
0.9749, 0.56675, 0.15701, 0.24284, 0.15445, 0.01216
0.9749, 0.5668, 0.15688, 0.24275, 0.15452, 0.01235
