Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.5604, 0.15598, 0.23709, 0.15453, 0.01251
0.9749, 0.56055, 0.15611, 0.23719, 0.15449, 0.01247
0.9749, 0.56065, 0.15604, 0.23721, 0.15458, 0.01253
0.9749, 0.56107, 0.15626, 0.23741, 0.15462, 0.0125
0.9749, 0.56119, 0.1564, 0.23732, 0.15469, 0.0125
0.9749, 0.56016, 0.1558, 0.23711, 0.15444, 0.0125
0.9749, 0.56061, 0.1559, 0.23732, 0.15468, 0.01242
0.9749, 0.56013, 0.15576, 0.23717, 0.15449, 0.01243
0.9749, 0.56079, 0.15593, 0.23735, 0.15477, 0.01246
0.9749, 0.56045, 0.15581, 0.2372, 0.15467, 0.01248
0.9749, 0.56061, 0.1559, 0.23726, 0.15468, 0.01249
0.9749, 0.56004, 0.15567, 0.2371, 0.15451, 0.01245
0.9749, 0.56058, 0.15593, 0.23726, 0.15462, 0.0125
0.9749, 0.56079, 0.15596, 0.23735, 0.15466, 0.01253
0.9749, 0.56049, 0.15586, 0.23726, 0.15459, 0.01249
0.9749, 0.5605, 0.15587, 0.23717, 0.15469, 0.0125
0.9749, 0.56027, 0.15576, 0.23717, 0.15455, 0.01251
0.9749, 0.56084, 0.15594, 0.23744, 0.15469, 0.01248
0.9749, 0.55991, 0.15574, 0.23698, 0.15452, 0.01238
0.9749, 0.55984, 0.15578, 0.23698, 0.15441, 0.01238
0.9749, 0.56098, 0.15597, 0.23736, 0.15483, 0.01254
0.9749, 0.56057, 0.1559, 0.23722, 0.15468, 0.01248
0.9749, 0.56057, 0.15584, 0.23729, 0.15459, 0.01257
0.9749, 0.5607, 0.15599, 0.23717, 0.15471, 0.01254
0.9749, 0.56086, 0.15596, 0.23733, 0.1547, 0.01261
0.9749, 0.56035, 0.15586, 0.23714, 0.15454, 0.01252
0.9749, 0.5606, 0.1559, 0.23719, 0.15465, 0.01257
0.9749, 0.56042, 0.15584, 0.23721, 0.15457, 0.01252
0.9749, 0.56021, 0.15583, 0.23711, 0.15448, 0.0125
0.9749, 0.56072, 0.15593, 0.23727, 0.1547, 0.01254
0.9749, 0.56086, 0.15593, 0.23745, 0.1546, 0.0126
0.9749, 0.56113, 0.15612, 0.23737, 0.15488, 0.01248
0.9749, 0.56063, 0.15592, 0.23733, 0.15457, 0.01253
0.9749, 0.5603, 0.15598, 0.23699, 0.15454, 0.01248
0.9749, 0.56081, 0.15612, 0.23711, 0.15472, 0.01257
0.9749, 0.56014, 0.15593, 0.23702, 0.15456, 0.01234
0.9749, 0.56052, 0.15603, 0.2371, 0.15459, 0.01251
0.9749, 0.56067, 0.15609, 0.2371, 0.15467, 0.01251
0.9749, 0.56044, 0.15604, 0.23698, 0.15465, 0.01247
0.9749, 0.56052, 0.15602, 0.23709, 0.15459, 0.01253
0.9749, 0.56063, 0.15611, 0.23713, 0.15456, 0.01254
0.9749, 0.56045, 0.15587, 0.23732, 0.15457, 0.0124
0.9749, 0.56075, 0.15618, 0.23715, 0.1546, 0.01253
0.9749, 0.56036, 0.15596, 0.23716, 0.15443, 0.01251
0.9749, 0.56074, 0.15606, 0.23711, 0.15478, 0.01248
0.9749, 0.56056, 0.15606, 0.23712, 0.15459, 0.0125
0.9749, 0.56077, 0.15608, 0.23719, 0.1547, 0.01252
0.9749, 0.56084, 0.15613, 0.2372, 0.15471, 0.01252
0.9749, 0.56089, 0.15613, 0.23717, 0.15476, 0.01254
0.9749, 0.56098, 0.15608, 0.23727, 0.15482, 0.01251
0.9749, 0.56115, 0.15615, 0.23716, 0.155, 0.01254
0.9749, 0.56097, 0.15615, 0.23723, 0.15473, 0.01257
0.9749, 0.56086, 0.1561, 0.23718, 0.15473, 0.01256
0.9749, 0.56083, 0.15619, 0.23722, 0.15469, 0.01244
0.9749, 0.56071, 0.15607, 0.23722, 0.15459, 0.01254
0.9749, 0.56092, 0.15616, 0.23728, 0.15463, 0.01256
0.9749, 0.56122, 0.15637, 0.23732, 0.15467, 0.01257
0.9749, 0.56011, 0.15583, 0.23699, 0.15446, 0.01254
0.9749, 0.56079, 0.15609, 0.23721, 0.15468, 0.01253
0.9749, 0.56065, 0.15596, 0.23722, 0.15461, 0.01256
0.9749, 0.5604, 0.156, 0.23702, 0.15451, 0.01258
0.9749, 0.56037, 0.15604, 0.23696, 0.15447, 0.01259
0.9749, 0.56087, 0.1561, 0.23717, 0.15464, 0.01266
0.9749, 0.56053, 0.15609, 0.23699, 0.15458, 0.01257
0.9749, 0.56063, 0.15601, 0.23719, 0.1546, 0.01254
0.9749, 0.56075, 0.1561, 0.23715, 0.15463, 0.01259
0.9749, 0.55992, 0.15583, 0.23693, 0.15441, 0.01245
0.9749, 0.56085, 0.15623, 0.23715, 0.15465, 0.01254
0.9749, 0.56093, 0.15622, 0.23713, 0.15473, 0.01255
0.9749, 0.56118, 0.15615, 0.23736, 0.15485, 0.01254
0.9749, 0.56052, 0.15601, 0.23711, 0.15464, 0.01244
0.9749, 0.56081, 0.1561, 0.23722, 0.15463, 0.01257
0.9749, 0.56092, 0.15614, 0.23727, 0.15471, 0.01252
0.9749, 0.56042, 0.15601, 0.23705, 0.15454, 0.01252
0.9749, 0.56058, 0.15603, 0.23713, 0.15462, 0.0125
0.9749, 0.56085, 0.15592, 0.23728, 0.15487, 0.01251
0.9749, 0.56023, 0.15579, 0.23707, 0.15464, 0.01244
0.9749, 0.56068, 0.156, 0.23714, 0.15472, 0.01254
0.9749, 0.56004, 0.15593, 0.23685, 0.1545, 0.01247
0.9749, 0.55996, 0.15587, 0.23678, 0.15452, 0.01249
0.9749, 0.56, 0.15579, 0.2369, 0.15451, 0.01252
0.9749, 0.56081, 0.15595, 0.23711, 0.15491, 0.01256
0.9749, 0.55989, 0.15567, 0.23694, 0.15448, 0.0125
0.9749, 0.56007, 0.15579, 0.2369, 0.15456, 0.01252
0.9749, 0.56041, 0.15582, 0.23721, 0.15455, 0.01254
0.9749, 0.56016, 0.15582, 0.23688, 0.15462, 0.01254
0.9749, 0.56001, 0.15574, 0.23694, 0.15454, 0.01248
0.9749, 0.56023, 0.15588, 0.23696, 0.15457, 0.01251
0.9749, 0.5607, 0.15601, 0.23717, 0.15468, 0.01254
0.9749, 0.56073, 0.15601, 0.23719, 0.15471, 0.01252
0.9749, 0.55997, 0.15577, 0.23684, 0.15452, 0.01254
0.9749, 0.5614, 0.15606, 0.23755, 0.15501, 0.0125
0.9749, 0.56063, 0.15593, 0.23728, 0.1547, 0.01243
0.9749, 0.56083, 0.15596, 0.2373, 0.15472, 0.01257
0.9749, 0.5607, 0.15587, 0.23738, 0.15458, 0.01258
0.9749, 0.56063, 0.15591, 0.23719, 0.15473, 0.0125
0.9749, 0.56048, 0.1559, 0.23718, 0.15464, 0.01249
0.9749, 0.56079, 0.15594, 0.2374, 0.15463, 0.01255
0.9749, 0.56049, 0.15588, 0.23724, 0.15454, 0.01254
0.9749, 0.56059, 0.15582, 0.23724, 0.15467, 0.01257
