Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.56234, 0.15717, 0.23756, 0.15485, 0.01248
0.9749, 0.56068, 0.15691, 0.23687, 0.15439, 0.01222
0.9749, 0.56236, 0.15755, 0.23738, 0.15478, 0.01238
0.9749, 0.56207, 0.1573, 0.23725, 0.15472, 0.01251
0.9749, 0.5621, 0.15731, 0.23727, 0.15473, 0.0125
0.9749, 0.56189, 0.15724, 0.23731, 0.15459, 0.01248
0.9749, 0.56215, 0.15737, 0.23731, 0.15475, 0.01245
0.9749, 0.56183, 0.15726, 0.23724, 0.15455, 0.01249
0.9749, 0.56202, 0.15736, 0.23728, 0.15462, 0.01247
0.9749, 0.56283, 0.15768, 0.23738, 0.15493, 0.01255
0.9749, 0.56212, 0.1573, 0.23725, 0.15475, 0.01254
0.9749, 0.56266, 0.15753, 0.23748, 0.15481, 0.01256
0.9749, 0.56159, 0.15725, 0.2371, 0.15464, 0.01231
0.9749, 0.56513, 0.15834, 0.23828, 0.15543, 0.01279
0.9749, 0.56616, 0.15842, 0.23873, 0.1558, 0.01288
0.9749, 0.56424, 0.1579, 0.23795, 0.15542, 0.01266
0.9749, 0.56296, 0.15757, 0.2376, 0.15501, 0.0125
0.9749, 0.56269, 0.15744, 0.23764, 0.15484, 0.01247
0.9749, 0.56583, 0.15813, 0.23837, 0.15613, 0.01286
0.9749, 0.56655, 0.15841, 0.23875, 0.15609, 0.01293
0.9749, 0.5665, 0.15846, 0.23874, 0.15602, 0.01296
0.9749, 0.56574, 0.1583, 0.23832, 0.15584, 0.01297
0.9749, 0.56533, 0.15834, 0.23835, 0.15558, 0.01275
0.9749, 0.56555, 0.15811, 0.23851, 0.15575, 0.01288
0.9749, 0.56452, 0.15795, 0.2381, 0.15545, 0.0127
0.9749, 0.56519, 0.158, 0.23835, 0.15574, 0.01281
0.9749, 0.56528, 0.15798, 0.23832, 0.15572, 0.01293
0.9749, 0.56549, 0.15825, 0.23845, 0.15553, 0.01295
0.9749, 0.56473, 0.15805, 0.23803, 0.15566, 0.01269
0.9749, 0.56517, 0.15828, 0.23831, 0.15553, 0.01273
0.9749, 0.56721, 0.15893, 0.23909, 0.15602, 0.01285
0.9749, 0.56607, 0.15864, 0.23857, 0.15582, 0.01275
0.9749, 0.56637, 0.1587, 0.23862, 0.15588, 0.01287
0.9749, 0.56602, 0.15869, 0.23858, 0.15566, 0.0128
0.9749, 0.56611, 0.15842, 0.2387, 0.15586, 0.01283
0.9749, 0.56586, 0.15861, 0.23838, 0.15584, 0.01272
0.9749, 0.56603, 0.1585, 0.23868, 0.15582, 0.01273
0.9749, 0.56558, 0.15844, 0.23851, 0.15561, 0.01273
0.9749, 0.56552, 0.15839, 0.23844, 0.15571, 0.01266
0.9749, 0.56515, 0.15827, 0.23815, 0.15567, 0.01275
0.9749, 0.56511, 0.15822, 0.23834, 0.15552, 0.01273
0.9749, 0.5644, 0.15806, 0.23787, 0.15537, 0.0128
0.9749, 0.56396, 0.15784, 0.23798, 0.15526, 0.01259
