Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.5627, 0.15765, 0.23706, 0.15524, 0.01247
0.9749, 0.56283, 0.15762, 0.23717, 0.15544, 0.01231
0.9749, 0.56362, 0.1578, 0.23753, 0.15557, 0.01243
0.9749, 0.5636, 0.15793, 0.23726, 0.15565, 0.01246
0.9749, 0.5637, 0.15787, 0.23742, 0.15559, 0.01254
0.9749, 0.56389, 0.15826, 0.23732, 0.15551, 0.0125
0.9749, 0.56302, 0.15739, 0.2374, 0.15557, 0.01237
0.9749, 0.56364, 0.15785, 0.23759, 0.15543, 0.01248
0.9749, 0.56387, 0.15782, 0.23741, 0.15587, 0.01248
0.9749, 0.60685, 0.17032, 0.25163, 0.17059, 0.01398
0.9749, 0.57505, 0.16098, 0.24164, 0.15823, 0.01388
0.9749, 0.57452, 0.16105, 0.24089, 0.15853, 0.01375
0.9749, 0.57787, 0.16182, 0.24229, 0.15926, 0.01418
0.9749, 0.56415, 0.15814, 0.23776, 0.15529, 0.01266
0.9749, 0.56134, 0.15734, 0.23665, 0.15473, 0.01233
0.9749, 0.56181, 0.15744, 0.23686, 0.15476, 0.01247
0.9749, 0.56008, 0.15694, 0.2362, 0.15445, 0.0122
0.9749, 0.56062, 0.15712, 0.23632, 0.1545, 0.01238
0.9749, 0.56148, 0.15724, 0.23672, 0.15475, 0.01249
0.9749, 0.56141, 0.15727, 0.23661, 0.15476, 0.01247
0.9749, 0.56005, 0.15685, 0.23629, 0.15425, 0.01235
0.9749, 0.56118, 0.15722, 0.23659, 0.1546, 0.01247
0.9749, 0.56099, 0.15718, 0.23648, 0.15456, 0.01246
0.9749, 0.56113, 0.15731, 0.23655, 0.15455, 0.01242
0.9749, 0.56184, 0.1573, 0.23672, 0.15498, 0.01255
0.9749, 0.56155, 0.15731, 0.23678, 0.15471, 0.01247
0.9749, 0.56204, 0.15749, 0.23701, 0.15486, 0.01242
0.9749, 0.56134, 0.15733, 0.2366, 0.15461, 0.01251
0.9749, 0.56094, 0.15722, 0.23646, 0.15452, 0.01244
0.9749, 0.56145, 0.15739, 0.23652, 0.15475, 0.0125
0.9749, 0.56076, 0.15721, 0.2364, 0.15453, 0.01233
0.9749, 0.56083, 0.1572, 0.23644, 0.15447, 0.01241
0.9749, 0.56147, 0.15746, 0.23658, 0.15467, 0.01249
0.9749, 0.56146, 0.15736, 0.23667, 0.1547, 0.01245
0.9749, 0.56022, 0.15701, 0.23633, 0.15434, 0.01226
0.9749, 0.55989, 0.15689, 0.23613, 0.15435, 0.01222
0.9749, 0.56084, 0.15717, 0.23637, 0.1546, 0.01242
0.9749, 0.56104, 0.15733, 0.23645, 0.15452, 0.01245
0.9749, 0.56055, 0.15702, 0.23641, 0.15448, 0.01235
0.9749, 0.56024, 0.157, 0.23628, 0.1544, 0.01227
0.9749, 0.56049, 0.15699, 0.23643, 0.15451, 0.01227
0.9749, 0.56114, 0.15725, 0.23652, 0.15466, 0.01241
0.9749, 0.56133, 0.15737, 0.23656, 0.15466, 0.01245
0.9749, 0.56137, 0.15729, 0.23662, 0.15466, 0.01251
0.9749, 0.56141, 0.15722, 0.23656, 0.15482, 0.01251
0.9749, 0.56115, 0.15718, 0.23653, 0.15469, 0.01247
0.9749, 0.56132, 0.15727, 0.23662, 0.15467, 0.01248
0.9749, 0.56133, 0.15725, 0.23662, 0.1547, 0.01249
0.9749, 0.5612, 0.15723, 0.23659, 0.15469, 0.0124
0.9749, 0.56108, 0.15717, 0.23665, 0.15453, 0.01243
0.9749, 0.56104, 0.15717, 0.23657, 0.1546, 0.01239
0.9749, 0.56145, 0.15729, 0.23666, 0.15468, 0.01252
0.9749, 0.56128, 0.15731, 0.23657, 0.15459, 0.01254
0.9749, 0.56147, 0.1574, 0.23664, 0.15466, 0.01247
0.9749, 0.56139, 0.15739, 0.23662, 0.15466, 0.01244
0.9749, 0.56148, 0.15741, 0.23661, 0.15467, 0.01252
0.9749, 0.56094, 0.15722, 0.23655, 0.15447, 0.01241
0.9749, 0.56128, 0.15725, 0.23667, 0.15465, 0.01243
0.9749, 0.56126, 0.15726, 0.2366, 0.15468, 0.01242
0.9749, 0.56159, 0.1574, 0.23664, 0.15476, 0.0125
0.9749, 0.56104, 0.15728, 0.23654, 0.15456, 0.01235
0.9749, 0.56049, 0.15706, 0.23634, 0.1545, 0.0123
0.9749, 0.56107, 0.15733, 0.23645, 0.15454, 0.01245
0.9749, 0.56036, 0.15702, 0.23635, 0.1544, 0.0123
0.9749, 0.5607, 0.15715, 0.23646, 0.15444, 0.01237
0.9749, 0.56113, 0.15726, 0.23652, 0.15457, 0.0125
0.9749, 0.56101, 0.15719, 0.2366, 0.15449, 0.01245
0.9749, 0.56048, 0.15702, 0.23642, 0.15434, 0.01243
0.9749, 0.56021, 0.15687, 0.2363, 0.15441, 0.01235
0.9749, 0.56124, 0.15728, 0.23652, 0.15468, 0.01247
0.9749, 0.56135, 0.15725, 0.23653, 0.15462, 0.01267
0.9749, 0.56156, 0.1573, 0.23662, 0.15475, 0.01261
0.9749, 0.56129, 0.15729, 0.23656, 0.15465, 0.0125
0.9749, 0.56177, 0.15732, 0.23673, 0.15477, 0.01266
0.9749, 0.56173, 0.15748, 0.23672, 0.15468, 0.01257
0.9749, 0.56114, 0.15717, 0.23655, 0.15457, 0.01257
0.9749, 0.56151, 0.15726, 0.23671, 0.15468, 0.01257
0.9749, 0.56033, 0.15696, 0.23637, 0.15438, 0.01233
0.9749, 0.56087, 0.15691, 0.23653, 0.15453, 0.0126
0.9749, 0.56019, 0.15703, 0.23629, 0.15424, 0.01231
0.9749, 0.56043, 0.15706, 0.23637, 0.15445, 0.01226
0.9749, 0.56009, 0.15688, 0.23628, 0.1543, 0.01233
