Accuracy, Total Time, L1+L2 Time, L3 Time, L4 Time, L5 Time, Result Time
0.9749, 0.64689, 0.15941, 0.18669, 0.13232, 0.15544, 0.01244
0.9749, 0.64309, 0.15846, 0.18589, 0.13145, 0.1543, 0.01237
0.9749, 0.64377, 0.15873, 0.18592, 0.1317, 0.15446, 0.01242
0.9749, 0.64487, 0.15897, 0.18623, 0.13206, 0.15456, 0.01261
0.9749, 0.64477, 0.15882, 0.1863, 0.13187, 0.15477, 0.01256
0.9749, 0.64457, 0.15871, 0.18618, 0.13187, 0.15473, 0.0126
0.9749, 0.64514, 0.15909, 0.18631, 0.13201, 0.1547, 0.01259
0.9749, 0.64445, 0.15893, 0.18598, 0.1319, 0.15457, 0.01263
0.9749, 0.64389, 0.15862, 0.18595, 0.13167, 0.15461, 0.01259
0.9749, 0.64401, 0.15868, 0.18603, 0.13171, 0.15447, 0.01266
0.9749, 0.64481, 0.15875, 0.18608, 0.13188, 0.15486, 0.0128
0.9749, 0.64416, 0.15869, 0.18605, 0.13168, 0.15457, 0.01261
0.9749, 0.64218, 0.15824, 0.18581, 0.1314, 0.15418, 0.01212
0.9749, 0.64214, 0.15849, 0.18568, 0.13136, 0.15418, 0.01204
0.9749, 0.64259, 0.1585, 0.18581, 0.13145, 0.15435, 0.01206
0.9749, 0.64223, 0.15844, 0.18574, 0.13149, 0.15419, 0.01197
0.9749, 0.64264, 0.1585, 0.18581, 0.13154, 0.1543, 0.01208
0.9749, 0.64437, 0.1587, 0.1863, 0.13213, 0.15466, 0.01219
0.9749, 0.64377, 0.15865, 0.18615, 0.13198, 0.15448, 0.01211
0.9749, 0.64438, 0.15874, 0.18627, 0.13197, 0.15468, 0.01231
0.9749, 0.64305, 0.15866, 0.18575, 0.13162, 0.15442, 0.01217
0.9749, 0.64603, 0.15905, 0.18664, 0.13221, 0.1552, 0.01249
0.9749, 0.66167, 0.16234, 0.1898, 0.1352, 0.1581, 0.0154
