Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.60135, 0.19716, 0.23697, 0.15438, 0.01254
0.9749, 0.60201, 0.19738, 0.23719, 0.15457, 0.01258
0.9749, 0.60189, 0.19739, 0.23716, 0.15448, 0.01257
0.9749, 0.60194, 0.19737, 0.2373, 0.15436, 0.01261
0.9749, 0.60221, 0.19743, 0.23727, 0.1546, 0.01262
0.9749, 0.60226, 0.19763, 0.23719, 0.15459, 0.01257
0.9749, 0.60206, 0.19755, 0.23708, 0.15452, 0.01262
0.9749, 0.6026, 0.19776, 0.23721, 0.15477, 0.01258
0.9749, 0.60225, 0.19754, 0.23728, 0.15461, 0.01252
0.9749, 0.6027, 0.19784, 0.23732, 0.15472, 0.01251
0.9749, 0.60177, 0.1976, 0.23696, 0.15445, 0.01247
0.9749, 0.60239, 0.19771, 0.23714, 0.15475, 0.0125
0.9749, 0.602, 0.19754, 0.23712, 0.15454, 0.0125
0.9749, 0.60215, 0.19764, 0.2372, 0.15461, 0.01241
0.9749, 0.60196, 0.19768, 0.23706, 0.15449, 0.01244
0.9749, 0.60183, 0.19755, 0.23706, 0.15451, 0.01241
0.9749, 0.60216, 0.19758, 0.23716, 0.1547, 0.01243
0.9749, 0.60225, 0.19775, 0.23722, 0.15457, 0.01243
0.9749, 0.60251, 0.19776, 0.23718, 0.15494, 0.01235
0.9749, 0.60209, 0.1977, 0.23713, 0.15461, 0.01237
0.9749, 0.6012, 0.19733, 0.2369, 0.1543, 0.01237
0.9749, 0.60198, 0.19761, 0.23714, 0.15454, 0.0124
0.9749, 0.60196, 0.19761, 0.23705, 0.15459, 0.01242
0.9749, 0.60228, 0.19765, 0.23713, 0.15471, 0.0125
0.9749, 0.60222, 0.19765, 0.23714, 0.15465, 0.01249
0.9749, 0.60205, 0.19766, 0.23711, 0.15457, 0.01242
0.9749, 0.60237, 0.19772, 0.23715, 0.15465, 0.01257
0.9749, 0.60224, 0.19763, 0.23711, 0.15473, 0.01248
0.9749, 0.6023, 0.19766, 0.23736, 0.15454, 0.01246
0.9749, 0.60231, 0.19766, 0.23713, 0.15472, 0.01251
0.9749, 0.60241, 0.19782, 0.23717, 0.15459, 0.01254
0.9749, 0.60245, 0.19772, 0.23726, 0.15471, 0.01248
0.9749, 0.60186, 0.19752, 0.23701, 0.15459, 0.01245
0.9749, 0.60093, 0.19728, 0.23672, 0.15434, 0.0123
0.9749, 0.60261, 0.19768, 0.23731, 0.15476, 0.01257
0.9749, 0.60203, 0.19749, 0.2371, 0.15453, 0.01262
0.9749, 0.60234, 0.19768, 0.23714, 0.15462, 0.01261
0.9749, 0.60235, 0.19756, 0.23722, 0.15469, 0.01259
0.9749, 0.60233, 0.19753, 0.23713, 0.15477, 0.01261
