Accuracy, Total Time, L1+L2 Time, L3+L4 Time, L5 Time, Result Time
0.9749, 0.57245, 0.157, 0.24813, 0.15462, 0.0124
0.9749, 0.57215, 0.15685, 0.24806, 0.15454, 0.0124
0.9749, 0.57252, 0.15703, 0.24811, 0.15469, 0.01239
0.9749, 0.57219, 0.15669, 0.24815, 0.15464, 0.01241
0.9749, 0.57209, 0.15665, 0.2482, 0.15452, 0.01242
0.9749, 0.57173, 0.15657, 0.248, 0.15439, 0.01246
0.9749, 0.57223, 0.15676, 0.2482, 0.15452, 0.01243
0.9749, 0.57203, 0.15662, 0.24818, 0.15448, 0.01245
0.9749, 0.57214, 0.15668, 0.24822, 0.1545, 0.01244
0.9749, 0.57176, 0.15674, 0.24803, 0.15441, 0.01227
0.9749, 0.57182, 0.15662, 0.2481, 0.15441, 0.01239
0.9749, 0.57207, 0.15664, 0.24809, 0.15461, 0.01243
0.9749, 0.57226, 0.15682, 0.24819, 0.15445, 0.01249
0.9749, 0.57204, 0.15672, 0.2481, 0.15452, 0.01239
0.9749, 0.57242, 0.15678, 0.24822, 0.15467, 0.01245
0.9749, 0.57189, 0.15662, 0.24808, 0.15453, 0.01235
0.9749, 0.57246, 0.15685, 0.24829, 0.15458, 0.01243
0.9749, 0.57196, 0.15666, 0.2481, 0.15448, 0.01241
0.9749, 0.57219, 0.15675, 0.24821, 0.15467, 0.01226
0.9749, 0.57246, 0.15679, 0.24836, 0.1546, 0.01241
0.9749, 0.57171, 0.15665, 0.24812, 0.15443, 0.0122
0.9749, 0.57218, 0.15673, 0.24814, 0.15458, 0.01243
0.9749, 0.57203, 0.15666, 0.24811, 0.15456, 0.0124
0.9749, 0.57261, 0.15683, 0.24833, 0.15467, 0.01249
0.9749, 0.57196, 0.15665, 0.24815, 0.15444, 0.01243
0.9749, 0.57206, 0.15665, 0.24825, 0.1544, 0.01245
0.9749, 0.57183, 0.15658, 0.24808, 0.15444, 0.01243
0.9749, 0.57232, 0.1568, 0.24823, 0.15452, 0.01247
0.9749, 0.57246, 0.15687, 0.24823, 0.15464, 0.01244
0.9749, 0.5717, 0.1567, 0.24798, 0.15442, 0.0123
